RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,Name,Model,Owner
3682,09/05/2012,"Infinis, previously Broadview Energy Developments",Low Spinney Wind Farm,Wind Onshore,8,2,4,,Operational,"Gilmorton Lane, Ashby Magnor, Lutterworth, Leicestershire. LE17 5NB",Leicestershire,East Midlands,England,,455816,289705,29/09/2011,,,
3684,04/06/2013,Ventient (formerly Infinis),Westfield,Wind Onshore,12.5,2.5,5,,Operational,"Near Kingassie, Lochgelly, Fife. KY5 0J",Fife,Scotland,Scotland,,319640,695487,31/03/2013,,,
3685,07/12/2012,Nuon UK,Swinford Wind Farm,Wind Onshore,27.5,0.4,11,,Operational,"Lutterworth Road, Swinford, Lutterworth, Leicestershire. LE17 6BA",Leicestershire,East Midlands,England,,456804,279647,21/11/2012,,,
3686,25/06/2013,Fivestone Ltd,Burnt House Farm,Wind Onshore,6,2,3,,Operational,"Burnt House Road, Whittlesey, Burnthouse Sidings, Peterborough, Cambs",Cambridgeshire,Eastern,England,PE7 2HP,533458,295082,19/06/2013,,,
3688,25/03/2015,Community Windpower (Community Wind Power),Calder Water Community Wind Farm,Wind Onshore,28,2,14,,Operational,"Harshaw Hill, Drumclog, Strathaven, Strathclyde. ML10 6QN",Strathclyde,Scotland,Scotland,,260869,640428,01/09/2013,Calder Water,Siemens Direct Drive,Community Windpower
3690,25/03/2015,Community Windpower,Millour Hill Community Windfarm,Wind Onshore,18,3,6,,Operational,"Baidland Hill,",Strathclyde,Scotland,Scotland,,225843,652080,01/05/2012,Millour Hill Extension,Siemens Direct Drive,Community Windpower
3691,19/03/2015,Strathdee Energy,Netherton of Windyhills,Wind Onshore,4.6,2.3,2,,Operational,"Grange Crossroads, Keith, Grampian",Grampian,Scotland,Scotland,AB55 6NL,348948,857294,01/11/2014,,,
3693,19/04/2013,Private Developer,Gallowhill,Wind Onshore,1.8,0.9,2,,Operational,"West Manse, Westray, KW17 2DR",Orkney Islands,Scotland,Scotland,,344124,1043753,18/02/2013,,,
3694,01/05/2018,Foresight/Belltown,Frodsham Marsh,Wind Onshore,50.4,2.65,19,,Operational,Land between Manchester Ship Canal and M56,Cheshire,North West,England,,348857,378461,15/11/2016,Frodsham,,
3695,04/09/2018,RWE Npower Renewables,Brechfa Forest West,Wind Onshore,57.4,2.05,28,,Operational,"centred around the Afon Pib Valley, east of Alltwalis and the second area around Banc Llywelau, south of Rhydcymerau.",Dyfed,Wales,Wales,,254202,231259,18/01/2018,,,
3698,07/01/2015,Green Cat Renewables,Greenhill Croft,Wind Onshore,4.6,2.3,2,,Operational,"Bonnykelly, New Pitsligo, Fraserburgh, Grampian",Grampian,Scotland,Scotland,AB43 6NP,388080,856083,01/03/2012,,,
