Name,Model,Owner,Coordinates,wiki_coords
Cairnmore,Vestas V52,-,57°18′30″N 02°49′30″W﻿ / ﻿57.30833°N 2.82500°W,"(57.30833, -2.825)"
Dummuie,Vestas V66,Englefield Renewable Energy Fund,57°24′46″N 02°43′42″W﻿ / ﻿57.41278°N 2.72833°W,"(57.41278, -2.72833)"
Glens of Foudland,Bonus B1300,Centrica Renewable Energy Ltd,57°25′28″N 02°38′34″W﻿ / ﻿57.42444°N 2.64278°W,"(57.42444, -2.64278)"
Hill of Balquhindachy (Extension),Vestas V52,Greenspan Energy,57°28′23″N 02°14′19″W﻿ / ﻿57.47306°N 2.23861°W,"(57.47306, -2.23861)"
Hill of Eastertown,Vestas V52,Mackies Icecream Factories,57°22′21″N 02°24′7″W﻿ / ﻿57.37250°N 2.40194°W,"(57.3725, -2.40194)"
Hill of Fiddes,Enercon E70,-,57°18′56″N 02°06′52″W﻿ / ﻿57.31556°N 2.11444°W,"(57.31556, -2.11444)"
Hill of Skelmonae,Enercon E48,-,57°26′56″N 02°11′21″W﻿ / ﻿57.44889°N 2.18917°W,"(57.44889, -2.18917)"
House O Hill,Enercon E48,-,57°37′02″N 02°02′27″W﻿ / ﻿57.61722°N 2.04083°W,"(57.61722, -2.04083)"
North Redbog,Enercon E48,Redbog Renewables Ltd,57°35′09″N 02°00′21″W﻿ / ﻿57.58583°N 2.00583°W,"(57.58583, -2.00583)"
St John's Wells,Enercon E48,-,57°25′22″N 02°20′04″W﻿ / ﻿57.42278°N 2.33444°W,"(57.42278, -2.33444)"
Strath of Brydock,Enercon E70,-,57°37′45″N 02°35′07″W﻿ / ﻿57.62917°N 2.58528°W,"(57.62917, -2.58528)"
Tullo,Nordex N80,Eneco,56°50′07″N 02°23′59″W﻿ / ﻿56.83528°N 2.39972°W,"(56.83528, -2.39972)"
Twinshiels,Nordex N80,Eneco,56°50′36″N 2°23′54″W﻿ / ﻿56.843242°N 2.398279°W,"(56.843242, -2.398279)"
Upper Ardgrain,Enercon E48,-,57°24′02″N 02°04′03″W﻿ / ﻿57.40056°N 2.06750°W,"(57.40056, -2.0675)"
Ardkinglas/ Clachan Flats,Ecotecnia 74,Iberdrola,56°17′16″N 04°56′55″W﻿ / ﻿56.28778°N 4.94861°W,"(56.28778, -4.94861)"
Beinn an Tuirc,Vestas V47,ScottishPower,55°33′56″N 05°34′12″W﻿ / ﻿55.56556°N 5.57000°W,"(55.56556, -5.57)"
Beinn Ghlas,Bonus B600,Beaufort Wind Limited,56°22′59″N 05°16′20″W﻿ / ﻿56.38306°N 5.27222°W,"(56.38306, -5.27222)"
Cruach Mhor,Vestas V52,ScottishPower,56°02′24″N 05°09′22″W﻿ / ﻿56.04000°N 5.15611°W,"(56.04, -5.15611)"
Deucheran Hill,Vestas V66,E.ON Renewables,55°37′44″N 05°33′35″W﻿ / ﻿55.62889°N 5.55972°W,"(55.62889, -5.55972)"
Tangy,Vestas V52,SSE plc,55°29′38″N 05°40′45″W﻿ / ﻿55.49389°N 5.67917°W,"(55.49389, -5.67917)"
Artfield Fell,Siemens SWT-1.3,SSE plc,54°57′58″N 04°45′59″W﻿ / ﻿54.96611°N 4.76639°W,"(54.96611, -4.76639)"
Craig Wind Farm,Nordex N80,Craig Wind Farm Company,55°12′46″N 03°06′34″W﻿ / ﻿55.21278°N 3.10944°W,"(55.21278, -3.10944)"
"Dalswinton, Pennyland Moor",REpower MM82,Airtricity,55°10′13″N 03°40′25″W﻿ / ﻿55.17028°N 3.67361°W,"(55.17028, -3.67361)"
Minsca,Siemens SWT-2.3,Airtricity,55°06′46″N 03°12′59″W﻿ / ﻿55.11278°N 3.21639°W,"(55.11278, -3.21639)"
North Rhins,Vestas V80,AES Wind Generation,54°52′55″N 05°05′00″W﻿ / ﻿54.88194°N 5.08333°W,"(54.88194, -5.08333)"
Wether Hill,Siemens SWT-1.3,ScottishPower,55°13′20″N 04°02′30″W﻿ / ﻿55.22222°N 4.04167°W,"(55.22222, -4.04167)"
Windy Standard,Nordtank NTK600,Innogy,55°17′31″N 04°12′18″W﻿ / ﻿55.29194°N 4.20500°W,"(55.29194, -4.205)"
Michelin Tyre Factory,Enercon E70,Ecotricity,56°28′59″N 02°53′32″W﻿ / ﻿56.48306°N 2.89222°W,"(56.48306, -2.89222)"
Hare Hill,Vestas V47,ScottishPower,55°21′06″N 04°07′04″W﻿ / ﻿55.35167°N 4.11778°W,"(55.35167, -4.11778)"
Myres Hill,NEG Micon NM52,-,55°41′30″N 04°16′42″W﻿ / ﻿55.69167°N 4.27833°W,"(55.69167, -4.27833)"
"Whitelee,[2] Eaglesham Moor",Siemens SWT-2.3,ScottishPower,55°41′14″N 04°13′43″W﻿ / ﻿55.68722°N 4.22861°W,"(55.68722, -4.22861)"
"Achairn Farm, Stirkoke",REpower MM82,-,58°26′14″N 03°11′31″W﻿ / ﻿58.43722°N 3.19194°W,"(58.43722, -3.19194)"
Achany Estate,REpower MM82,-,58°00′16″N 04°31′54″W﻿ / ﻿58.00444°N 4.53167°W,"(58.00444, -4.53167)"
Beinn Tharsuinn,Vestas V66,ScottishPower,57°48′06″N 04°19′56″W﻿ / ﻿57.80167°N 4.33222°W,"(57.80167, -4.33222)"
Beinn Tharsuinn Extension,Enercon E70,-,57°48′06″N 04°19′56″W﻿ / ﻿57.80167°N 4.33222°W,"(57.80167, -4.33222)"
Ben Aketil,Enercon E70,Falck Renewables,57°25′45″N 06°27′18″W﻿ / ﻿57.42917°N 6.45500°W,"(57.42917, -6.455)"
Ben Aketil Extension,Enercon E70,Falck Renewables,57°25′38″N 06°26′55″W﻿ / ﻿57.42722°N 6.44861°W,"(57.42722, -6.44861)"
Bilbster (Watten),Nordex N60,Innogy,58°28′19″N 03°18′48″W﻿ / ﻿58.47194°N 3.31333°W,"(58.47194, -3.31333)"
Boulfruich,Vestas V52,Anthony & Kathryn Hall,58°18′0″N 03°26′00″W﻿ / ﻿58.30000°N 3.43333°W,"(58.3, -3.43333)"
Causeymire,Bonus B2300,Innogy,58°25′46″N 03°30′31″W﻿ / ﻿58.42944°N 3.50861°W,"(58.42944, -3.50861)"
Edinbane,Enercon E70,-,57°25′45″N 06°25′18″W﻿ / ﻿57.42917°N 6.42167°W,"(57.42917, -6.42167)"
Fairburn Estate,REpower MM82,-,57°31′47″N 04°38′47″W﻿ / ﻿57.52972°N 4.64639°W,"(57.52972, -4.64639)"
Farr Wind Farm,Bonus B2300,Innogy,57°19′30″N 04°05′39″W﻿ / ﻿57.32500°N 4.09417°W,"(57.325, -4.09417)"
Forss Extension,Siemens SWT-1.3,-,58°36′28″N 03°40′11″W﻿ / ﻿58.60778°N 3.66972°W,"(58.60778, -3.66972)"
"Forss, Hill of Lybster",Bonus,-,58°36′28″N 03°40′03″W﻿ / ﻿58.60778°N 3.66750°W,"(58.60778, -3.6675)"
Gordonbush,REpower MM82,SSE plc,58°06′31″N 03°55′45″W﻿ / ﻿58.10861°N 3.92917°W,"(58.10861, -3.92917)"
Gigha Community,Vestas V27,Isle of Gigha Heritage Trust,55°40′05″N 05°45′16″W﻿ / ﻿55.66806°N 5.75444°W,"(55.66806, -5.75444)"
Kilbraur (Strathbrora),Nordex N90,Falck Renewables,58°02′52″N 04°07′40″W﻿ / ﻿58.04778°N 4.12778°W,"(58.04778, -4.12778)"
Millennium (Glenmoriston),Nordex N90,Falck Renewables,57°08′04″N 04°49′56″W﻿ / ﻿57.13444°N 4.83222°W,"(57.13444, -4.83222)"
Millennium Extension (Glenmoriston),Nordex N90,Falck Renewables,57°08′04″N 04°49′56″W﻿ / ﻿57.13444°N 4.83222°W,"(57.13444, -4.83222)"
Novar,Bonus B500,Beaufort Wind Limited,57°42′52″N 04°26′03″W﻿ / ﻿57.71444°N 4.43417°W,"(57.71444, -4.43417)"
Findhorn Foundation Extension,Vestas V29,-,57°39′26″N 03°34′48″W﻿ / ﻿57.65722°N 3.58000°W,"(57.65722, -3.58)"
Paul's Hill,Bonus B2300,Fred Olsen Renewables Ltd,57°26′46″N 03°28′34″W﻿ / ﻿57.44611°N 3.47611°W,"(57.44611, -3.47611)"
Rothes (Cairn Uish),Bonus B2300,Fred Olsen Renewables Ltd,57°32′14″N 03°22′17″W﻿ / ﻿57.53722°N 3.37139°W,"(57.53722, -3.37139)"
Ardrossan,Vestas V80,Infinis,55°41′09″N 04°48′26″W﻿ / ﻿55.68583°N 4.80722°W,"(55.68583, -4.80722)"
Ardrossan Extension,Vestas V80,-,55°41′09″N 04°48′26″W﻿ / ﻿55.68583°N 4.80722°W,"(55.68583, -4.80722)"
Hagshaw Hill Extension,Siemens SWT-1.3,ScottishPower,55°33′22″N 03°54′03″W﻿ / ﻿55.55611°N 3.90083°W,"(55.55611, -3.90083)"
Bu Farm,GE Wind 900S,I & H Brown,59°04′59″N 02°39′53″W﻿ / ﻿59.08306°N 2.66472°W,"(59.08306, -2.66472)"
Burgar Hill,Nordex N80,Innogy,59°07′13″N 03°08′45″W﻿ / ﻿59.12028°N 3.14583°W,"(59.12028, -3.14583)"
Hammars Hill,Enercon E44,-,59°05′41″N 03°04′31″W﻿ / ﻿59.09472°N 3.07528°W,"(59.09472, -3.07528)"
Spurness Wind Farm,NEG Micon NM80,SSE plc,59°11′10″N 02°41′22″W﻿ / ﻿59.18611°N 2.68944°W,"(59.18611, -2.68944)"
Drumderg,Siemens SWT-2.3,-,56°40′46″N 03°21′23″W﻿ / ﻿56.67944°N 3.35639°W,"(56.67944, -3.35639)"
Green Knowes,Acciona AW1500,ScottishPower,56°14′56″N 03°40′01″W﻿ / ﻿56.24889°N 3.66694°W,"(56.24889, -3.66694)"
Toddleburn,Siemens SWT-2.3,SSE Renewables,55°46′20″N 02°48′24″W﻿ / ﻿55.77222°N 2.80667°W,"(55.77222, -2.80667)"
Black Hill,Siemens SWT-1.3,RES,55°47′54″N 02°26′02″W﻿ / ﻿55.79833°N 2.43389°W,"(55.79833, -2.43389)"
Bowbeat,Nordex N60,E.ON Renewables,55°42′56″N 03°08′23″W﻿ / ﻿55.71556°N 3.13972°W,"(55.71556, -3.13972)"
Carcant,Siemens,SSE Renewables,55°45′42″N 03°00′49″W﻿ / ﻿55.76167°N 3.01361°W,"(55.76167, -3.01361)"
Crystal Rig,Nordex N80,Fred Olsen Renewables Ltd,55°53′42″N 02°30′47″W﻿ / ﻿55.89500°N 2.51306°W,"(55.895, -2.51306)"
Crystal Rig1a,Nordex N80,Fred Olsen Renewables Ltd,55°53′42″N 02°30′47″W﻿ / ﻿55.89500°N 2.51306°W,"(55.895, -2.51306)"
Crystal Rig2 & 2a,Siemens SWT-2.3,Fred Olsen Renewables Ltd,55°54′20″N 02°33′00″W﻿ / ﻿55.90556°N 2.55000°W,"(55.90556, -2.55)"
Dun Law,Vestas V47,ScottishPower,55°48′27″N 02°51′37″W﻿ / ﻿55.80750°N 2.86028°W,"(55.8075, -2.86028)"
Dun Law Extension,Vestas V52,ScottishPower,55°48′27″N 02°51′37″W﻿ / ﻿55.80750°N 2.86028°W,"(55.8075, -2.86028)"
