,RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
2652,3361,23/02/2017,Private Developer,PROMISED LAND FARM,Wind Onshore,1.0,0.5,2.0,,Operational,"PROMISED LAND FARM, CRANK ROAD, KINGS MOSS, ST HELENS, LANCASHIRE, WA11 8RW",Merseyside,North West,England,,351169,401881.0,22/10/2014,"(53.51133071522702, -2.737804738587779)"
2657,3368,17/05/2018,Private Developer,Nethercott Farm,Wind Onshore,1.5,0.5,3.0,,Operational,Land At Nethercott Farm Tetcott Holsworthy Devon ,Devon,South West,England,EX22 6RG,235330,96451.0,15/12/2016,"(50.74425301697902, -4.335360933647139)"
2659,3370,28/04/2015,"Messrs Stevenson, Watson and Brunton",Bonerbo Wind Turbines,Wind Onshore,1.5,0.5,3.0,,Operational,Balmonth And Drumrack Farms Bonerbo Dunino ,Fife,Scotland,Scotland,,353841,707688.0,15/12/2014,"(56.2594371966236, -2.746685758379604)"
2665,3378,05/01/2015,Princes Gate Spring Water,Princes Gate Spring Water,Wind Onshore,1.6,0.8,2.0,,Operational,"Princes Gate Spring Water, Ludchurch, Narberth, ",Dyfed,Wales,Wales,SA67 8JD,214885,211552.0,03/09/2014,"(51.771950477500084, -4.684423712440712)"
2666,3380,21/03/2014,North British Windpower Ltd,Phase 1 Bettyhill Wind Farm,Wind Onshore,5.0,2.5,2.0,,Operational,"Skelpick Estate, Thurso KW14 7TA",Highland,Scotland,Scotland,,272326,962920.0,04/06/2013,"(58.53559309186397, -4.1946952348996165)"
2668,3382,22/06/2017,Sibelco/ Golconda,Sibelco Brassington,Wind Onshore,2.3,2.5,1.0,,Operational,Manystones Lane Brassington Derbyshire,Derbyshire,East Midlands,England,,424985,354923.0,15/09/2016,"(53.09093803235042, -1.6283812493038712)"
2673,3390,11/04/2011,Lambrigg Windfarm Ltd,Lambrigg Wind Farm,Wind Onshore,6.5,1.3,5.0,,Operational,"Lambrigg Fell, Off A684, Roan Edge
Cumbria",Cumbria,North West,England,,358800,493600.0,22/09/2001,"(54.336284797593486, -2.6351394090831866)"
2674,3391,06/12/2019,Cannock Renewables,Askam,Wind Onshore,4.6,0.66,7.0,,Operational,"Land North East of Far Old Park Farm, Ireleth, Askam-in-Furness",Cumbria,North West,England,,323000,477100.0,13/07/1999,"(54.18387229004082, -3.1813783567173135)"
2675,3392,19/12/2003,Natural Power,Bears Down Wind Farm,Wind Onshore,9.8,0.6,16.0,,Operational,"Bears Down Reservoir
St Colomb
Cornwall",Cornwall,South West,England,,190360,67560.0,31/08/2001,"(50.47029054568845, -4.9556272706104725)"
2679,3396,03/04/2018,Green Cat Renewables ,Welton Of Creuchies,Wind Onshore,9.2,2.3,4.0,,Operational,"Alyth, Blairgowrie",Tayside,Scotland,Scotland,,321622,750192.0,23/01/2018,"(56.63696989514959, -3.279415519484869)"
2681,3398,28/04/2016,Macphie Of Glenbervie Ltd,Droop Hill Wind Farm x,Wind Onshore,4.6,2.3,2.0,,Operational,Stonehaven AB39 3YA,Grampian,Scotland,Scotland,,375708,781360.0,01/07/2014,"(56.9229033100238, -2.4006709734247536)"
2685,3403,14/09/2011,Private Developer,Denhill,Wind Onshore,2.3,2.3,1.0,,Operational,"St Katherine's, Inverurie, Aberdeenshire",Grampian,Scotland,Scotland,AB51 8SU,379611,835693.0,01/06/2011,"(57.41115618030958, -2.3410245193766546)"
2686,3404,13/09/2011,Private Developer,Haddo,Wind Onshore,4.6,2.3,2.0,,Operational,"Methlick, Ellon, Aberdeenshire",Grampian,Scotland,Scotland,AB41 7DX,381628,837639.0,25/05/2011,"(57.428722555879894, -2.3075987362976504)"
2687,3405,05/09/2011,Private Developer,Gairnieston Farm,Wind Onshore,2.3,2.3,1.0,,Operational,"Turriff, Aberdeenshire",Grampian,Scotland,Scotland,AB53 5RP,374750,856031.0,01/11/2010,"(57.593592135303375, -2.4240481116091215)"
2690,3408,21/05/2010,,"Burgar Hill (land Near), Evie",Wind Onshore,2.3,2.5,1.0,,Operational,"Evie, Orkney",Orkney Islands,Scotland,Scotland,,334300,1026200.0,01/11/2009,"(59.1175519271275, -3.1492162027828607)"
2695,3415,07/05/2015,Falkirk Tod Hill Wind Limited,Tod Hill Farm Wind Turbines,Wind Onshore,12.0,3.0,4.0,,Operational,Todhill Farm Larbert ,Falkirk,Scotland,Scotland,FK5 4SH,284064,683742.0,22/01/2015,"(56.032492925442874, -3.862116950283768)"
2704,3429,19/11/2018,Urban Wind,Moorhouse Farm,Wind Onshore,1.0,0.5,2.0,,Operational,Land North West Of Shepherds House Moorhouse Coldingham Scottish Borders,Borders,Scotland,Scotland,,384415,667894.0,15/05/2018,"(55.90390332992608, -2.2508376025370778)"
2707,3432,23/10/2009,,Royd Moor,Wind Onshore,5.9,0.45,13.0,,Operational,"Royd Moor, Penistone",South Yorkshire,Yorkshire and Humber,England,,422000,404000.0,01/12/1993,"(53.532199472482574, -1.669565583700058)"
2708,3433,18/03/2016,Greencoat UK Wind/Bay Wa .r.e/ SunGift,Stroupster Wind Farm - additional turbine,Wind Onshore,2.3,2.3,1.0,,Operational,"Stroupster, Caithness",Highland,Scotland,Scotland,,333969,965435.0,15/10/2015,"(58.57190388389776, -3.1369711375090352)"
2711,3437,16/01/2017,Constantine Wind Energy,Little Belhus Restoration Site,Wind Onshore,1.0,0.5,2.0,77.0,Operational,"Land Between M25 And West Road, West Road, South Ockendon",Essex,Eastern,England,,558111,182855.0,23/09/2016,"(51.52248318169757, 0.2776349361134486)"
2712,3440,28/10/2010,Fred Olsen Renewables,Crystal Rig Wind Farm Phase 2a,Wind Onshore,138.0,2.3,60.0,,Operational,"Dundfar Common, Eastern Lammermuirs",Borders,Scotland,Scotland,,367000,667500.0,25/10/2010,"(55.89948068296659, -2.5293113735388078)"
2720,3448,27/07/2010,AMEC/ Border Winds,Clachan Flats Wind Farm,Wind Onshore,15.0,1.67,9.0,,Operational,"North of the head of Loch Fyne 
Ardkinlas",Strathclyde,Scotland,Scotland,,217950,714520.0,01/12/2008,"(56.28809278304757, -4.942889825389989)"
2721,3449,05/12/2008,Ecotricity,Fen Farm,Wind Onshore,16.0,0.8,20.0,,Operational,"Fen Farm, Fen Lane, Conisholme, South Lincolnshire",Lincolnshire,East Midlands,England,,537585,393825.0,17/04/2008,"(53.423280292772674, 0.06903850657896708)"
2722,3450,04/06/2018,Gresham House,Darracott Moor,Wind Onshore,2.6,0.85,3.0,,Operational,"Torrington, Devon, EX38",Devon,South West,England,,223500,117500.0,06/05/2011,"(50.92987719868173, -4.513013713448156)"
2724,3453,04/02/2009,A7 Energy / Green Energy,Lochhead Farm,Wind Onshore,6.0,2.0,3.0,,Operational,"Land at Lochhead Farm, Stonehouse",Strathclyde,Scotland,Scotland,,275500,646500.0,01/07/2009,"(55.695929956296425, -3.9823487397043014)"
2728,3457,28/10/2010,Scottish and Southern Energy (SSE),Toddleburn,Wind Onshore,27.6,2.3,12.0,,Operational,Oxton,Borders,Scotland,Scotland,,345050,653150.0,12/10/2010,"(55.76855269537965, -2.8773910082852336)"
2729,3458,06/04/2011,Crimp Power Ltd (West Coast Energy),Crimp Wind Farm,Wind Onshore,2.4,0.8,3.0,,Operational,"Morwenstow,  Kilkhampton, ",Cornwall,South West,England,,225180,115445.0,01/04/2011,"(50.91192722684798, -4.488145556663195)"
2732,3466,14/08/2010,Border Wind,Hedley Hope,Wind Onshore,2.4,0.8,3.0,,Operational,"High Hedley Farm, Tow Law, Bishop Auckland, County Durham",County Durham,North East,England,,415700,541000.0,30/12/2001,"(54.76369119846399, -1.7575281860571033)"
2733,3467,18/01/2012,Border Wind / Scottish and Southern (SSE),Tangy Wind Farm/Tangy 1,Wind Onshore,12.8,0.85,15.0,,Operational,"Kilkenzie, Cambeltown",Strathclyde,Scotland,Scotland,,168500,628500.0,26/12/2002,"(55.49529060344506, -5.666584618603039)"
2743,3479,06/05/2009,Co-op,Coldham Hall,Wind Onshore,14.0,1.75,8.0,,Operational,"Coldham Hall
Nr the Coldham Estate
Cambridgeshire",Cambridgeshire,Eastern,England,,543324,302675.0,01/08/2005,"(52.602962218830804, 0.11491353619378901)"
2744,3480,24/08/2012,Co-operative Energy,Whitemill Wind Farm,Wind Onshore,14.0,2.0,7.0,,Operational,"Coldham Estate, Coldham, Wisbech",Cambridgeshire,Eastern,England,PE14 0LX,545100,301570.0,02/05/2012,"(52.59256452871288, 0.14063440762083657)"
2750,3487,10/05/2016,CRE Energy/ Scottish Power,Green Knowes,Wind Onshore,27.0,1.5,18.0,,Operational,"Land at Green Knowes, by Glendevon",Tayside,Scotland,Scotland,,296850,707550.0,29/09/2008,"(56.24923105301945, -3.6662575829525648)"
2752,3489,20/05/2010,CRE Energy/ Scottish Power,Whitelee,Wind Onshore,322.0,2.3,140.0,,Operational,"Eaglesham Moor, Whitelee Forest,  Fenwick Moor, East Kilbride, South of Glasgow",Strathclyde,Scotland,Scotland,,256800,645435.0,14/12/2007,"(55.68120687788657, -4.279060578358626)"
2754,3491,13/07/2006,Cumbria Wind Farms,Great Orton,Wind Onshore,4.0,0.66,6.0,,Operational,"Near Carlisle
Cumbria",Cumbria,North West,England,,331000,553500.0,21/12/1999,"(54.87148887702734, -3.0767381323852776)"
2755,3492,07/09/2009,Cumbria Wind Farms,Winscales Phase I and II,Wind Onshore,8.8,0.8,11.0,,Operational,"Winscales, Workington, Cumbria",Cumbria,North West,England,,303000,527000.0,01/12/2004,"(54.62877741224227, -3.504059125414785)"
2757,3494,10/12/2009,E.ON UK,Holmside Hall,Wind Onshore,2.8,1.37,2.0,,Operational,"Burnhope, Stanley, County Durham",County Durham,North East,England,,420800,550300.0,01/06/2004,"(54.847079672318785, -1.6776060849389032)"
2758,3495,09/12/2009,E.ON UK,High Volts Wind Farm,Wind Onshore,5.5,1.83,3.0,,Operational,"Potters Farm, Elwick, Hartlepool, Cleveland",Cleveland,North East,England,,445200,533400.0,01/12/2003,"(54.69361687901773, -1.3002704430675824)"
2759,3496,08/05/2009,E.ON UK,Hare Hill,Wind Onshore,1.3,1.3,1.0,,Operational,"Harehill Farm, Haswell Plough, County Durham",County Durham,North East,England,,437735,540895.0,01/07/2004,"(54.76158064449295, -1.4151091161122948)"
2765,3504,24/06/2011,E.ON UK,Great Eppleton Farm Repowering,Wind Onshore,8.2,2.0,4.0,,Operational,"Hetton, Houghton-le-Spring, Tyne & Wear, DH5 9NL",Tyne and Wear,North East,England,,436900,548200.0,01/03/2010,"(54.82728530202714, -1.427157596797822)"
2768,3507,06/06/2011,E.ON UK Renewables Developments Ltd,Haswell Moor,Wind Onshore,10.0,2.0,5.0,,Operational,"Haswell Moor
Easington
County Durham",County Durham,North East,England,,438085,541365.0,12/12/2010,"(54.76577774417485, -1.409608886953325)"
2771,3510,08/05/2009,Ecotricity,Worksop - B&Q,Wind Onshore,2.0,2.0,1.0,,Operational,"Manton Wood, Worksop, Nottinghamshire",Nottinghamshire,East Midlands,England,,461695,378487.0,21/01/2009,"(53.29975227517197, -1.075746162664589)"
2772,3511,04/07/2018,Otter Power,Cold Northcott,Wind Onshore,6.6,0.3,22.0,,Operational,"Launceston
Cornwall",Cornwall,South West,England,,220040,85965.0,01/06/2002,"(50.64550915882092, -4.546748582460881)"
2783,3524,06/10/2011,Green Cat Renewables,Upper Ardgrain Wind Farm,Wind Onshore,2.4,0.8,3.0,,Operational,"Ellon, Aberdeenshire",Grampian,Scotland,Scotland,,396508,835110.0,01/10/2010,"(57.40636717538202, -2.0597655180413676)"
2787,3529,03/02/2010,Longearth Ltd / Farm Energy,Rothiesholm,Wind Onshore,2.7,0.9,3.0,,Operational,"Rothiesholm, Stronsay, Orkney",Orkney Islands,Scotland,Scotland,,362283,1023560.0,10/04/2002,"(59.097252646145435, -2.660078974138682)"
2788,3532,01/10/2009,Mackies,Hill of Easterton,Wind Onshore,2.5,2.5,1.0,,Operational,"Hill of Easterton, 1km North Of Mackies Ice Cream Dairy, Westertown, Rothienorman, Inverurie, AB51 8US",Grampian,Scotland,Scotland,,376449,831808.0,01/01/2005,"(57.37610585497129, -2.3932806181883666)"
2789,3533,09/06/2010,Mersey Docks and Harbour Company,Port of Liverpool - wind,Wind Onshore,10.0,2.5,4.0,,Operational,"Alexandra Dock, Port of Liverpool, Regent Road, Bootle",Merseyside,North West,England,,333356,395230.0,01/02/2009,"(53.449598067055334, -3.00495823591484)"
2790,3534,31/05/2017,Natural Power Consultants,Rothes Wind (Cairn Uish),Wind Onshore,50.6,2.3,22.0,,Operational,"Cairn Uish, 10km south of Elgin,  Moray",Grampian,Scotland,Scotland,,318500,850500.0,01/11/2004,"(57.53726375019279, -3.362957508939726)"
2792,3536,08/10/2013,Natural Power Consultants,Crystal Rig Extension II,Wind Onshore,20.7,2.3,9.0,,Operational,Lammermuir Hills on the East Lothian Council/Scottish Borders Council border approximately 11km from Dunbar and 16.5km from Duns.,Borders,Scotland,Scotland,,366000,669000.0,25/10/2010,"(55.91288749112602, -2.5454918200065446)"
2794,3538,06/03/2012,Novera Energy,Glenkerie Wind Farm,Wind Onshore,22.0,2.0,11.0,,Operational,"Kingledores Farm, Broughton, Biggar, Strathclyde. ML12 6QL",Borders,Scotland,Scotland,,310453,628117.0,01/02/2012,"(55.538523293313105, -3.420495060455995)"
2795,3539,09/06/2010,Novera Energy,Lissett Airfield Wind Farm,Wind Onshore,30.0,2.5,12.0,,Operational,"1.5km west of Lisset, East Yorkshire",Humberside,Yorkshire and Humber,England,,512263,458139.0,20/02/2009,"(54.0070762449378, -0.2885281977124712)"
2804,3548,07/08/2012,Orkney Sustainable Energy,Methlick Farmers Wind Energy Project,Wind Onshore,12.0,2.0,6.0,,Operational,"Methlick, Aberdeenshire",Grampian,Scotland,Scotland,,385500,837500.0,01/12/2011,"(57.42761498094317, -2.243110818042024)"
2808,3552,08/12/2003,Powergen,Rheidol Wind Farm,Wind Onshore,2.4,0.3,8.0,,Operational,"Rheidol Wind Farm, Banc Bwa Drain, Goginan, Aberystwyth",Dyfed,Wales,Wales,SW23 3PQ,272400,280500.0,06/02/1997,"(52.407581025054455, -3.8772282090321126)"
2810,3554,05/08/2019,Powergen Renewables,Deucheran Hill,Wind Onshore,15.8,1.75,9.0,,Operational,"Deucheran Hill
Nr. Muasdale",Strathclyde,Scotland,Scotland,,177000,643000.0,30/11/2001,"(55.62928097720908, -5.544010040741151)"
2811,3556,01/04/2005,Renewable Development Company Ltd,Bryn Du,Wind Onshore,16.4,0.42,39.0,,Operational,"Bryn Du Hills, South Of A44 At Pont Rydgaled, Powys, (LLangurig area)",Powys,Wales,Wales,,284000,281000.0,01/04/2005,"(52.41465849014156, -3.7069605350451353)"
2817,3566,06/01/2004,Renewable Energy Systems (RES),Lendrum's Bridge Wind Farm ( Extension 2),Wind Onshore,7.3,0.66,11.0,,Operational,"Lendrum's Bridge
Murley RoadFivemiletown
County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,65919,512041.0,20/12/2002,"(54.39383709570099, -7.148895825518737)"
2818,3568,23/02/2010,Renewable Energy Systems (RES),Lendrum's Bridge Wind Farm,Wind Onshore,5.9,0.66,9.0,,Operational,"Lendrum's Bridge
Murley Road, Fivemiletown
County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,63672,512074.0,01/02/2000,"(54.39265401471365, -7.18339769850416)"
2820,3570,12/09/2013,Renewable Energy Systems (RES),Dun Law,Wind Onshore,17.2,0.66,26.0,,Operational,"Dun Law, 5km north west of Oxton, Lammermuir Hills",Borders,Scotland,Scotland,,347069,657344.0,21/08/2000,"(55.8064571532497, -2.8460315652527375)"
2822,3574,06/05/2009,Renewable Energy Systems (RES),Black Hill (Borders),Wind Onshore,28.6,1.3,22.0,,Operational,"Longformacus
Duns
Berwickshire",Borders,Scotland,Scotland,,373000,656300.0,14/02/2007,"(55.799227912476894, -2.4322436910170286)"
2823,3575,23/02/2010,Renewable Energy Systems (RES) / BP Energy,Altahullion,Wind Onshore,26.0,1.3,20.0,,Operational,"Alta Hullion Drum
Dun Given
Co. Londonderry",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,77906,574708.0,01/05/2003,"(54.962578933747814, -7.034105755486409)"
2824,3578,21/09/2009,Renewable Energy Systems (RES),Four Burrows Wind Farm,Wind Onshore,4.5,0.3,15.0,,Operational,"Blackwater, Truro, Cornwall",Cornwall,South West,England,,176615,47930.0,01/03/1998,"(50.28894301738888, -5.1373614562746885)"
2825,3579,12/09/2013,Renewable Energy Systems (RES),Dun Law Extension,Wind Onshore,29.8,0.85,35.0,,Operational,Dun Law (between Fala and Carfraemill 20 miles S-E of Edinburgh,Borders,Scotland,Scotland,,347276,655153.0,20/09/2009,"(55.78679587978672, -2.842304376517719)"
2826,3581,06/06/2011,RWE npower,Lochelbank Wind Farm II,Wind Onshore,9.6,0.8,12.0,,Operational,"North of Glenfarg, Perth, Tayside",Tayside,Scotland,Scotland,PH2 9QQ,311440,713477.0,25/05/2011,"(56.30541008555068, -3.432879138325294)"
2830,3585,27/07/2004,Scottish Power Renewables,Cruach Mhor,Wind Onshore,33.3,0.95,35.0,,Operational,"Cruach Mhor, Cowal, Glen Dareul, Agyll, Bute",Strathclyde,Scotland,Scotland,,203500,687400.0,31/01/2004,"(56.03904290768617, -5.155930389142329)"
2834,3592,26/04/2010,Tegni,Wern Ddu Wind Farm,Wind Onshore,9.2,2.3,4.0,,Operational,"NW Corwen, Gwyddelwern, Corwen, Denbighshire",Clwyd,Wales,Wales,,305800,348500.0,01/03/2010,"(53.02546825185769, -3.4059316995505142)"
2835,3593,11/04/2011,Trigen,"Hagshaw Hill (S15) Wind Farm, Lanarkshire",Wind Onshore,7.8,0.6,13.0,,Operational,The site lies 4km west of Douglas,Strathclyde,Scotland,Scotland,,278965,630750.0,01/11/1995,"(55.555369862682696, -3.92032525058706)"
2836,3594,15/03/2012,Vento Ludens,Muirake,Wind Onshore,4.6,2.3,2.0,,Operational,"Cornhill, Banff, Grampian. AB45 2BQ",Grampian,Scotland,Scotland,,356817,858161.0,13/12/2011,"(57.611359933502335, -2.724395438555094)"
2838,3598,10/05/2016,West Coast Energy /Falck Renewables,Millennium Extension,Wind Onshore,10.0,2.5,4.0,125.0,Operational,"Millennium Windfarm
on The Achlain and Invergarry amd Aberchalder Estates
Glengarry Invergarry
Inverness-Shire",Highland,Scotland,Scotland,,225200,810300.0,01/12/2008,"(57.15020001193859, -4.891170685923514)"
2842,3602,18/12/2014,EDF/China General Nuclear Power Corporation,Rusholme Wind Farm,Wind Onshore,24.0,2.0,12.0,,Operational,"Newland Wind Farm, Land at Pease Farm, Rushmere Grange, Newland",North Yorkshire,Yorkshire and Humber,England,,469500,426500.0,04/10/2010,"(53.730274955005605, -0.9480233954943676)"
2845,3605,21/05/2010,Wind Prospect,Longpark,Wind Onshore,38.0,2.0,19.0,,Operational,Stow,Borders,Scotland,Scotland,,348050,642050.0,01/09/2009,"(55.66916069526463, -2.8274693854793154)"
2846,3606,06/05/2009,Wind Prospect,Walkway,Wind Onshore,14.0,2.0,7.0,,Operational,Sedgefield,County Durham,North East,England,,439000,530000.0,15/05/2008,"(54.66358093453823, -1.396905880462342)"
2847,3607,11/04/2011,Wind Prospect / TXU,Coldham,Wind Onshore,16.0,2.0,8.0,,Operational,"Cws Coldham Estate, March, Cambridgeshire",Cambridgeshire,Eastern,England,,542000,302000.0,01/11/2005,"(52.59724548314142, 0.0950879931374957)"
2848,3608,04/12/2017,Wind Prospect Developments,Red Tile,Wind Onshore,24.0,2.0,12.0,,Operational,"Land Adjacent to Broadpool Farm
High Fen Straight Drove
Warboys
Huntingdon",Cambridgeshire,Eastern,England,,534086,283221.0,01/12/2006,"(52.43053272180982, -0.029242926238853346)"
2849,3609,04/12/2017,Wind Prospect Developments,Deeping St Nicholas Wind Farm,Wind Onshore,16.4,2.0,8.0,,Operational,"Vine House Farm Worths Farm and Porters Farm, Deeping St Nicholas",Lincolnshire,East Midlands,England,,519905,316471.0,01/08/2006,"(52.73259200110068, -0.2256835081108528)"
2851,3611,23/06/2009,Windprospect,Lowca Wind Farm,Wind Onshore,4.7,0.67,7.0,,Operational,"Lowca
Near Workington
Cumbria",Cumbria,North West,England,,298600,523600.0,01/04/2000,"(54.59736842322585, -3.5710105424923126)"
2853,3613,06/06/2011,Windprospect,Fairfield Farm,Wind Onshore,6.5,1.3,5.0,,Operational,"Fairfield Farm, Pica, Distington",Cumbria,North West,England,,301826,521459.0,02/03/2011,"(54.57877221695263, -3.520380833409292)"
2854,3614,11/04/2011,Windprospect,Haverigg Repowering (Haverigg II),Wind Onshore,1.2,0.22,5.0,,Operational,Kirksanton Airfield Part of Hemplands Farm Haverigg Millom Cumbria,Cumbria,North West,England,,313700,479500.0,01/05/2004,"(54.20395425770603, -3.3245331577353623)"
2858,3619,03/04/2018,Octopus Investments/Blue Energy,Beinneun Windfarm Extension,Wind Onshore,23.8,3.4,7.0,136.0,Operational,8km west of Invergarry,Highland,Scotland,Scotland,,220442,804419.0,16/02/2017,"(57.095605803530056, -4.965481047078889)"
2866,3627,19/07/2017,Scottish Power Renewables,Ewe Hill (extension),Wind Onshore,36.8,2.3,16.0,,Operational,Near Langham and Lockerbie,Dumfries and Galloway,Scotland,Scotland,,315000,580000.0,15/01/2017,"(55.10709221706526, -3.3338689795196914)"
2885,3647,26/05/2016,Eneco,Moy Wind Farm (2nd Application),Wind Onshore,66.0,3.3,20.0,,Operational,"Tomatin, Invernessshire",Highland,Scotland,Scotland,IV13 7YD,276947,835012.0,12/05/2016,"(57.38883375254894, -4.048801273033511)"
2888,3651,16/02/2016,Green Cat Renewables,Rosehill Wind Turbines,Wind Onshore,2.4,0.8,3.0,,Operational,Land Some 550 Metres East Of Rosehill Rosehill Road Tower Plean,Stirling,Scotland,Scotland,,286252,686188.0,15/12/2015,"(56.05498296460021, -3.828063050280963)"
2892,3657,26/04/2017,NTR,Twin Rivers,Wind Onshore,28.7,2.05,14.0,,Operational,"Moor Lane, Whitgift, East Riding of Yorkshire",Humberside,Yorkshire and Humber,England,,472545,412960.0,03/08/2016,"(53.60818380959787, -0.9050362429897694)"
2893,3659,08/10/2013,Border Wind Farms Ltd,Blyth Harbour Wind Farm,Wind Onshore,2.7,0.3,9.0,,Operational,"Blyth Harbour
North Blyth
Cambois
Bedlington
Northumberland",Northumberland,North East,England,,432290,581345.0,01/12/1992,"(55.12543827448606, -1.4951909213048766)"
2894,3660,06/11/2013,John Laing Environmental Assets Group,Penrhys Wind Farm/Ferndale Power Factory,Wind Onshore,6.4,0.8,8.0,,Operational,"Penrhys
Rhondda
Mid Glamorgan",Mid Glamorgan,Wales,Wales,,299700,195700.0,08/06/2011,"(51.65111448815072, -3.451169837172873)"
2895,3662,04/07/2012,Scottish and Southern Energy (SSE),Gordonbush,Wind Onshore,70.0,2.0,35.0,,Operational,"Gordonbush Estate, Brora, Sutherland, Highlands",Highland,Scotland,Scotland,,284500,909500.0,12/06/2012,"(58.059495017871654, -3.9590510483295027)"
2897,3664,27/02/2014,Wessex Water Engineering Services,Avonmouth Wind Power,Wind Onshore,8.2,2.05,4.0,,Operational,"Bristol Sewage Treatment Work, Bristol, BS11 0YS",Avon,South West,England,,353358,179393.0,06/02/2014,"(51.51152720408623, -2.6734973354054814)"
2898,3666,04/06/2013,Ventient (formerly Infinis),Gordonstown Hill Wind Farm,Wind Onshore,12.5,2.5,5.0,,Operational,"Gordonstown Hill Kirkton Of Auchterless, Turiff, Grampian, AB53 8BG",Grampian,Scotland,Scotland,,371136,841396.0,31/03/2013,"(57.46192107232462, -2.4827606935747837)"
2899,3667,19/04/2013,Branna Industrial & Technical Services Ltd,The Rosti Factory,Wind Onshore,2.2,2.2,1.0,,Operational,"Middleton Avenue, Strutherhil Industrial Estate, Larkhill, Strathclyde. ML9 2TL",Strathclyde,Scotland,Scotland,,276956,649658.0,18/02/2013,"(55.72465998741403, -3.9606195023686688)"
2900,3668,24/02/2012,Ben Aketil Wind Energy Ltd,Ben Aketil Extension,Wind Onshore,2.6,1.3,2.0,,Operational,"Near Dunvegan, Isle of Skye. IV55 8",Highland,Scotland,Scotland,,132500,846500.0,01/01/2011,"(57.42980814867901, -6.458341100842846)"
2902,3670,16/07/2020,Storas Uibhist,Lochcarnan Community Windfarm,Wind Onshore,6.9,2.3,3.0,,Operational,"Lochcarnan, Isle of South Uist. HS8 5",Western Isles,Scotland,Scotland,,77451,828569.0,18/02/2013,"(57.233744833108716, -7.347880863991489)"
2903,3671,19/04/2013,Renewable Energy Systems (RES),The Grange Wind Farm,Wind Onshore,14.0,2.0,7.0,,Operational,"Middle Road, Tydd St. Mary, Wisbech, Cambridge",Lincolnshire,East Midlands,England,PE13 5QZ,546300,319200.0,01/03/2013,"(52.75061804335078, 0.16615695022570334)"
2904,3672,04/03/2013,Roy Humphrey Group,Humphrey Group,Wind Onshore,5.0,2.5,2.0,,Operational,"Eye Airfield Industrial Estate, Ipswich Road, Brome, Eye, Suffolk, IP23 8AW",Suffolk,Eastern,England,,613107,275558.0,25/02/2013,"(52.33668720644272, 1.1266249036616265)"
2905,3673,18/04/2017,REG Windpower,Rodbaston,Wind Onshore,4.0,2.0,2.0,,Operational,"Rodbaston, Farm Drive, Rodbaston Campus, Stafford",Staffordshire,West Midlands,England,ST19 5PH,392176,311645.0,15/01/2017,"(52.70241926608864, -2.117223301962662)"
2906,3674,25/03/2015,EDF,Boundary Lane,Wind Onshore,6.0,2.0,3.0,,Operational,"Shotley Quarter, Whittonstall, Nr Consett, Co Durham. DH8 9",County Durham,North East,England,,404708,550336.0,31/03/2013,"(54.847809361345725, -1.9282068805579053)"
2908,3676,25/03/2015,,Nutberry Wind Farm,Wind Onshore,15.0,2.5,6.0,,Operational,"Cumberhead, Lesmahagow, Lanark, Strathclyde. ML11 0HN",Strathclyde,Scotland,Scotland,,279021,635662.0,30/09/2013,"(55.59949473864573, -3.9215920772238277)"
2909,3677,23/08/2013,Banks Renewables,Penny Hill Lane,Wind Onshore,19.8,3.3,6.0,,Operational,"Ulley, Sheffield, South Yorks. S26 3YA",South Yorkshire,Yorkshire and Humber,England,,446825,387627.0,31/03/2013,"(53.383421877920966, -1.2974963508145787)"
2910,3678,28/07/2016,Tobermore Concrete Products,Magherafelt,Wind Onshore,1.0,1.0,1.0,,Operational,"2 Lisnamuck Road, Tobermore, Magherafelt, Co Londonderry. BT45 5QF",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,101186,551482.0,12/06/2015,"(54.7690453550701, -6.647715770484374)"
2912,3680,19/04/2013,Ecotricity,The Michelin Tyre Factory - Ballymena,Wind Onshore,4.6,2.3,2.0,,Operational,"Raceview Road, Broughshane, Woodside Road, Ballymena, Co Antrim. BT42 4J",Co. Antrim,Northern Ireland,Northern Ireland,,130743,561194.0,25/02/2013,"(54.87280576006698, -6.198619719617808)"
2913,3681,08/10/2013,West Knock Farm,West Knock Wind Cluster,Wind Onshore,2.4,0.8,3.0,,Operational,"Mintlaw, Stuartfield, Peterhead, Grampian. AB42 5DJ",Grampian,Scotland,Scotland,,398494,844840.0,04/10/2011,"(57.49377901498621, -2.026777303232861)"
2914,3682,09/05/2012,"Infinis, previously Broadview Energy Developments",Low Spinney Wind Farm,Wind Onshore,8.0,2.0,4.0,,Operational,"Gilmorton Lane, Ashby Magnor, Lutterworth, Leicestershire. LE17 5NB",Leicestershire,East Midlands,England,,455816,289705.0,29/09/2011,"(52.502397006145536, -1.1791643191165495)"
