no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"56","EA","ER242017127","Glass Re-melt","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2024","01/01/2024","46c TILBURY Essex RM18 7EH","R5 Recycling/reclamation of other inorganic materials"
"57","EA","ER242016161","Glass Re-melt","L","URM UK Ltd T/A Berrymans","4084246","Active","01/01/2024","01/01/2024","Headlands Lane KNOTTINGLEY WEST YORKSHIRE WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"58","EA","ER242017132","Glass Re-melt","L","Veolia ES (UK) Ltd","02481991","Active","01/01/2024","01/01/2024","Alexandra Warehouse ST HELENS WA10 3LR","R5 Recycling/reclamation of other inorganic materials"
"59","EA","ER242013121","Glass Re-melt","S","Verallia UK Ltd","3846688","Active","01/01/2024","01/01/2024","Fernley Green Road KNOTTINGLEY West Yorkshire WF11 8DJ","R5 Recycling/reclamation of other inorganic materials"
"60","EA","ER242013122","Glass Re-melt","S","Verallia UK Ltd","3846688","Active","01/01/2024","01/01/2024","South Accommodation Road LEEDS West Yorkshire LS10 1NQ","R5 Recycling/reclamation of other inorganic materials"
"61","NRW","WR242015701","Glass Re-melt","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2024","01/01/2024","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"62","NIEA","NR242013104","Glass Re-melt","L","Encirc Ltd","NI 30990","Active","01/01/2024","01/01/2024","11 Gortahurk Road DERRYLIN Fermanagh BT92 9DD","R5 Recycling/reclamation of other inorganic materials"
"63","NIEA","NR242019104","Glass Re-melt","L","Enva Northern Ireland Ltd","NI017996","Active","01/01/2024","01/01/2024","52 Creagh Road TOOMEBRIDGE Antrim BT413SE","R5 Recycling/reclamation of other inorganic materials"
"64","SEPA","SR242013103","Glass Re-melt","L","Ardagh Glass Ltd","00567801","Active","01/01/2024","01/01/2024","Irvine Plant IRVINE KA12 8JA","R5 Recycling/reclamation of other inorganic materials"
"65","SEPA","SR242014102","Glass Re-melt","L","Dryden Aqua Ltd","SC072700","Active","01/01/2024","01/01/2024","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"66","SEPA","SR242021104","Glass Re-melt","L","Enva Scotland Limited","SC057052","Active","01/01/2024","01/01/2024","49 Burnbrae Rd, Linwood Industrial Estate LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"67","SEPA","SR242013101","Glass Re-melt","L","O-I Glass Ltd","00526983","Active","01/01/2024","01/01/2024","Glasshouse Loan ALLOA Clackmannanshire FK10 1PD","R5 Recycling/reclamation of other inorganic materials"
"68","SEPA","SR242021105","Glass Re-melt","L","Sibelco Green Solutions UK","01009716","Active","01/01/2024","01/01/2024","Newhouse Glass Recycling Facility NEWHOUSE Lanarkshire ML1 5ST","R5 Recycling/reclamation of other inorganic materials"
"69","EA","ER24199864","Paper/board","L","DS Smith Paper Limited","00058614","Active","01/01/2024","01/01/2024","DS SMITH PAPER LTD STTTINGBOURNE KENT ME10 2TD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"70","EA","ER242020197","Paper/board","S","Northwood Tissue (Disley) Ltd","07022309","Active","24/01/2024","24/01/2024","Disley Mill STOCKPORT Cheshire SK12 2HW","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"71","EA","ER242019102","Paper/board","L","Northwood Tissue (Lancaster) Ltd","8271967","Active","01/01/2024","01/01/2024","Northwood Tissue (Lancaster) Ltd LANCASTER Lancashire LA1 3PQ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"72","EA","ER242021124","Paper/board","L","Palm Paper Ltd","00813701","Active","01/01/2024","01/01/2024","Palm Paper Ltd KINGS LYNN Norfolk PE34 3AL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"73","EA","ER241998133","Paper/board","L","Preston Board & Packaging Ltd","1567779","Active","01/01/2024","01/01/2024","Romiley Board Mill STOCKPORT Cheshire SK6 4DZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"74","EA","ER242011114","Paper/board","L","SAICA Paper UK Ltd","06569569","Active","01/01/2024","01/01/2024","144 Manchester Road MANCHESTER M31 4QN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"75","EA","ER2419988","Paper/board","L","Smurfit Kappa UK Ltd","1017013","Active","01/01/2024","01/01/2024","Smurfit Kappa SSK Ltd BIRMINGHAM B7 5RE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"76","EA","ER242015111","Paper/board","L","Smurfit Kappa UK Ltd","1017013","Active","01/01/2024","01/01/2024","The Mill SNODLAND Kent ME6 5AX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"77","EA","ER24199890","Paper/board","L","Sonoco Cores and Paper Ltd","5133800","Active","01/01/2024","01/01/2024","Sonoco Board Mills STAINLAND West Yorkshire HX4 9PY","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"78","NRW","WR242020708","Paper/board","L","New Horizon Biofuel and animal
beddings Co Ltd","11777941","Active","01/01/2024","01/01/2024","New Horizon Biofuel & Animal Beddings Co Ltd RUABON Wrexham LL14 6HA","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"79","NIEA","NR242018104","Paper/board","L","Huhtamaki (Lurgan) Limited","NI001006","Active","01/01/2024","01/01/2024","Inn Road LURGAN Armagh BT66 7JN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"80","EA","ER242024114","Plastic","L","5 Star Plastics Ltd","14716106","Suspended","02/01/2024","24/04/2024","Central Business Park HIGH WYCOMBE Buckinghamshire HP13 5HG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"81","EA","ER242024138","Plastic","S","Agricycle Ltd","05256789","Active","11/06/2024","11/06/2024","Barff Farm MARKET RASEN Lincolnshire LN8 2AG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"82","EA","ER242013191","Plastic","S","Avanti Environmental Group Ltd","3476148","Active","01/01/2024","01/01/2024","Avanti Environmetal Group Limited KNOWSLEY Merseyside L33 7UF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"83","EA","ER242019177","Plastic","S","Axion Polymers Ltd","06259637","Active","01/01/2024","01/01/2024","Axion Polymers SALFORD M6 6RX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"84","EA","ER242019171","Plastic","S","Aylesbury Granulation Services Ltd","08968879","Active","01/01/2024","01/01/2024","Unit 1 Woodham Industrial Estate AYLESBURY HP18 0QE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"85","EA","ER242020262","Plastic","L","B & J Parr","","Active","15/01/2024","06/03/2024","B & J Parr MANSFIELD Nottinghamshire NG19 8BZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"86","EA","ER242016143","Plastic","L","B S Plastics Ltd","09350237","Active","01/01/2024","01/01/2024","52 CHURCH ROAD BIRMINGHAM WEST MIDLANDS B42 2LB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"87","EA","ER242021151","Plastic","L","BIFFA WASTE SERVICES LIMITED","00946107","Active","01/01/2024","01/01/2024","Wilden Road WASHINGTON Tyne and Wear NE38 8QB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"88","EA","ER242023175","Plastic","L","BIFFA WASTE SERVICES LIMITED","00946107","Active","01/01/2024","01/01/2024","Foxcover 9 SEAHAM England SR7 7DN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"89","EA","ER242023177","Plastic","L","BIFFA WASTE SERVICES LIMITED","00946107","Active","01/01/2024","01/01/2024","Biffa Waste Services Ltd REDCAR North Yorkshire TS10 4RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"90","EA","ER242011103","Plastic","L","Brightgreen Plastics Ltd","7289595","Active","01/01/2024","01/01/2024","ALLERTON BYWATER BUSINESS PARK CASTLEFORD WEST YORKS WF10 2AL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"91","EA","ER24199871","Plastic","L","British Polythene Ltd","0350729","Active","01/01/2024","01/01/2024","BPI Recycled Products HEANOR Derbyshire DE75 7RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"92","EA","ER242021113","Plastic","S","British Polythene Ltd
(Bromborough)","0350729","Active","01/01/2024","01/01/2024","40 Thursby Road BIRKENHEAD Wirral CH62 3PZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"93","EA","ER24199854","Plastic","S","Centriforce Products Ltd","3347875","Cancelled","26/01/2024","06/08/2024","Errington Works LIVERPOOL Merseyside L20 8EE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
