unu_key,year,value
0305,2016,1253000.224321992
0305,2017,1304076.2294456062
0305,2018,1719403
0305,2019,1117883.7249683172
0305,2020,1232630.3922835544
0305,2021,1691959
0305,2022,2110340.2069602446
0305,2023,2348360.9099851027
0306,2008,298954
0306,2009,280818
0306,2010,253273
0306,2011,274470
0306,2012,279614
0306,2013,252997
0306,2014,435820.3312401955
0306,2015,362868.8621706216
0306,2016,306903.7322948558
0306,2017,306067.6906246184
0306,2018,604695.4445009088
0306,2019,265916.174517681
0306,2020,1033828
0306,2021,1307820
0306,2022,794187
0306,2023,182947
0307,2016,2657
0307,2017,3171
0307,2018,2670
0307,2019,2797
0307,2020,2811
0307,2021,9122
0307,2022,7907
0307,2023,5127
0308,2008,159314.13835029566
0308,2009,252148
0308,2010,459669.5615068989
0308,2011,869098.6165118462
0308,2012,735888.8482038698
0308,2013,810861.7675690897
0308,2014,783100.3274166298
0308,2015,782386
0308,2016,673261.2188945654
0308,2017,749740
0308,2018,936725
0308,2019,851996
0308,2020,1500857
0308,2021,1297579
0308,2022,1493008
0308,2023,1051403
0309,2008,388175.6656432049
0309,2009,767553
0309,2010,1160
0309,2011,2314
0309,2012,1338
0309,2013,902
0309,2014,5297
0309,2015,3986
0309,2016,4345
0309,2017,8326
0309,2018,9997
0309,2019,17078
0309,2020,8247
0309,2021,8922
0309,2022,7301
0309,2023,7119
0401,2008,1218899
0401,2009,252160
0401,2010,768831
0401,2011,403819
0401,2012,178746
0401,2013,68358
0401,2014,72626
0401,2015,84822
0401,2016,0
0401,2017,4654666
0401,2018,4240572
0401,2019,12668237
0401,2020,125918
0401,2021,187104
0401,2022,785757
0401,2023,607920
0402,2008,50904.48946395106
0402,2009,93994.87772016271
0402,2010,19782
0402,2011,25331
0402,2012,27460
0402,2013,31080
0402,2014,43180.44376723497
0402,2015,39664.98229615662
0402,2016,77682.54311694877
0402,2017,21664.399054677233
0402,2018,24826.195052309293
0402,2019,13305.88905717089
0402,2020,9525.755288304097
0402,2021,7115.3843227115685
0402,2022,4705.662675834127
0402,2023,2591.7424651079327
0403,2008,283486.89136955864
0403,2009,290127
0403,2010,152561.90966374817
0403,2011,139165.40330254787
0403,2012,216584.11694881791
0403,2013,267081.27230396774
0403,2014,214828.64288937053
0403,2015,419118.5743065975
0403,2016,460316.52807109035
0403,2017,393767.8308309542
0403,2018,393800.40093700547
0403,2019,443563.8742744847
0403,2020,447707.9198530571
0403,2021,240801.73239579314
0403,2022,228965.4006065206
0403,2023,198099.8165965706
0404,2008,322044.18886519084
0404,2009,433596.7862763845
0404,2010,324566.92160035303
0404,2011,406308
0404,2012,154348
0404,2013,177261.31381922483
0404,2014,267317
0404,2015,216204.28947561962
0404,2016,293005.4426163103
0404,2017,277585.9118465985
0404,2018,293664.8558568708
0404,2019,282495.6066759667
0404,2020,327665.8856444358
0404,2021,379980
0404,2022,256366
0404,2023,274461
0405,2008,678592.7447250643
0405,2009,515895.555295247
0405,2010,406449
0405,2011,233501
0405,2012,399796
0405,2013,378455
0405,2014,428722
0405,2015,349755
0405,2016,401816
0405,2017,369888
0405,2018,348882
0405,2019,303904
0405,2020,366071
0405,2021,624804
0405,2022,498562
0405,2023,363436
0406,2008,3813
0406,2009,3266
0406,2010,3264
0406,2011,4412
0406,2012,5719
0406,2013,4698
0406,2014,5835
0406,2015,15804
0406,2016,18351
0406,2017,18936
0406,2018,17266
0406,2019,26041
0406,2020,15101
0406,2021,27985
0406,2022,35385
0406,2023,16801
0407,2008,813.5471588945439
0407,2009,0
0407,2010,384.0731568776748
0407,2011,382.16002509465363
0407,2012,614.4809711969621
0407,2013,703.4548584366358
