year,unu_key,value
2008,0503,3597212.831211908
2008,0504,15824272
2008,0601,37514091
2008,0602,3951477.295763973
2008,0801,2496267
2008,0802,-15234
2008,0901,213835498.6173712
2008,0902,4625481
2008,1001,376814
2008,1002,64112
2008,0112,211405.91600000003
2008,0701,90039973.5432
2008,0703,11510
2008,0505,83340788.218
2008,0310,-20219
2008,3001,760334
2009,0101,23918
2009,0102,933648
2009,0103,7225740.2516505
2009,0104,4814239
2009,0105,-202030.5
2009,0106,10466052
2009,0108,2942508
2009,0109,702985.8890309741
2009,0111,323507
2009,0113,963854
2009,0114,5104913.530004468
2009,0201,66335388
2009,0202,38958104.83146697
2009,0203,7132852
2009,0204,10917474.52863589
2009,0205,17091142.19307511
2009,0301,22079813
2009,0302,4153609
2009,0303,10314679
2009,0304,7231935.5
2009,0305,5430743.291666683
2009,0306,41658992
2009,0307,671618
2009,0308,547220.8499285972
2009,0309,6456795.332821602
2009,0401,14259844.9768
2009,0402,20687342.877720162
2009,0403,5353138
2009,0404,11260801.786276385
2009,0405,9986362.555295248
2009,0406,12078578.5
2009,0407,74059.04877125178
2009,0408,10147394.142857144
2009,0501,-1888765.8571428563
2009,0502,133622021.66666666
2009,0503,5598716.662423816
2009,0504,11519977.253214613
2009,0601,19704873
2009,0602,4487120
2009,0801,1400781
2009,0802,-15234
2009,0901,94009066
2009,0902,3203814
2009,1001,-253771
2009,1002,68355
2009,0112,211405.91600000003
2009,0701,84733848.3148
2009,0703,11510
2009,0505,83340788.218
2009,0310,-20219
2009,3001,760334
2010,0101,68931.42681031465
2010,0102,1050921
2010,0103,8348386.725768771
2010,0104,4574896.197469091
2010,0105,-240610
2010,0106,12497986
2010,0108,3304475
2010,0109,698748.1687466981
2010,0111,229405.7647606628
2010,0113,455408
2010,0114,4908727.645864625
2010,0201,76167694
2010,0202,38412849.7752893
2010,0203,6464540
2010,0204,10527679.897264086
2010,0205,23119759.50237403
2010,0301,22534713
2010,0302,4945702
2010,0303,12721583
2010,0304,7163545
2010,0305,7739366.53436481
2010,0306,48243633
2010,0307,870704
2010,0308,783271.5615068988
2010,0309,6463646
2010,0401,13410392.3024
2010,0402,32414529
2010,0403,16795435.909663748
2010,0404,16432386.921600353
2010,0405,7655981
2010,0406,11901030
2010,0407,114303.07315687768
2010,0408,10142517.57142857
2010,0501,-2912449
2010,0502,144138374
2010,0503,5057899.246817862
2010,0504,14891754
2010,0601,31584118
2010,0602,4458999.981877266
2010,0801,1762493
2010,0802,-15234
2010,0901,29059859
2010,0902,5070828
2010,1001,77245
2010,1002,78320
2010,0112,211405.91600000003
2010,0701,79427723.0864
2010,0703,11510
2010,0505,83340788.218
2010,0310,-20219
2010,3001,760334
2011,0101,-50198.11629526349
2011,0102,1106425
2011,0103,7408283.623957738
2011,0104,4883462.069082145
2011,0105,-230688
2011,0106,14275152
2011,0108,3165302
2011,0109,685723.0877734453
2011,0111,283079
2011,0113,270978
2011,0114,4719875.883027302
2011,0201,69515294
