unu,year,value,variable,unit
0102,2008,45244.54751999999,inflow,mass
0103,2008,322595.28119,inflow,mass
0104,2008,337738.62464,inflow,mass
0105,2008,-7334.046369999999,inflow,mass
0106,2008,130792.4465422791,inflow,mass
0108,2008,125676.09842666665,inflow,mass
0109,2008,45998.10956334367,inflow,mass
0111,2008,12910.9185,inflow,mass
0113,2008,57632.328,inflow,mass
0114,2008,117111.36240000001,inflow,mass
0201,2008,68969.98083349661,inflow,mass
0202,2008,67155.7118089959,inflow,mass
0203,2008,10809.6234,inflow,mass
0204,2008,64790.65228684408,inflow,mass
0205,2008,13262.749500000002,inflow,mass
0301,2008,9298.71259,inflow,mass
0302,2008,46262.11747,inflow,mass
0303,2008,24690.4866,inflow,mass
0304,2008,71835.20784,inflow,mass
0305,2008,2133.118071230721,inflow,mass
0306,2008,3156.69159,inflow,mass
0307,2008,58464.64,inflow,mass
0308,2008,6515.9026970551895,inflow,mass
0309,2008,34958.700087786165,inflow,mass
0401,2008,5892.626083968001,inflow,mass
0402,2008,10148.929872365987,inflow,mass
0403,2008,28766.110106666667,inflow,mass
0404,2008,35939.98282013434,inflow,mass
0405,2008,19785.12648307864,inflow,mass
0406,2008,4779.88953,inflow,mass
0407,2008,1082.7570808277412,inflow,mass
0408,2008,138070.88171428573,inflow,mass
0501,2008,-77.8574442857143,inflow,mass
0502,2008,9109.819530666664,inflow,mass
0503,2008,539.5819246817861,inflow,mass
0504,2008,1645.724288,inflow,mass
0601,2008,93785.2275,inflow,mass
0602,2008,91555.72894285126,inflow,mass
0801,2008,449.32806,inflow,mass
0802,2008,-1021.2873600000001,inflow,mass
0901,2008,51320.51966816909,inflow,mass
0902,2008,25486.400309999997,inflow,mass
1001,2008,16579.816,inflow,mass
1002,2008,5912.40864,inflow,mass
0112,2008,8815.626697200003,inflow,mass
0701,2008,40517.98809444,inflow,mass
0703,2008,84.8287,inflow,mass
0505,2008,5917.195963477999,inflow,mass
0310,2008,NA,inflow,mass
3001,2008,NA,inflow,mass
0101,2009,2980.42198,inflow,mass
0102,2009,40828.42704,inflow,mass
0103,2009,269592.3687890802,inflow,mass
0104,2009,348117.62209,inflow,mass
0105,2009,-9176.22531,inflow,mass
0106,2009,127057.87128,inflow,mass
0108,2009,118494.79716000002,inflow,mass
0109,2009,30966.528411814408,inflow,mass
0111,2009,8637.6369,inflow,mass
0113,2009,69397.488,inflow,mass
0114,2009,114503.21047800021,inflow,mass
0201,2009,66998.74188,inflow,mass
0202,2009,66228.77821349386,inflow,mass
0203,2009,12125.8484,inflow,mass
0204,2009,63321.35226608816,inflow,mass
0205,2009,9400.12820619131,inflow,mass
0301,2009,9052.72333,inflow,mass
0302,2009,36884.047920000005,inflow,mass
0303,2009,25064.669970000003,inflow,mass
0304,2009,72897.90984000001,inflow,mass
0305,2009,2552.449347083341,inflow,mass
0306,2009,3749.30928,inflow,mass
0307,2009,26864.72,inflow,mass
0308,2009,11748.831647966981,inflow,mass
0309,2009,35254.102517205945,inflow,mass
0401,2009,5561.339540952001,inflow,mass
0402,2009,4964.9622906528375,inflow,mass
0403,2009,20127.79888,inflow,mass
0404,2009,32656.32518020151,inflow,mass
0405,2009,21969.997621649545,inflow,mass
0406,2009,4106.71669,inflow,mass
0407,2009,2415.06558043052,inflow,mass
0408,2009,143585.62712142858,inflow,mass
0501,2009,-169.98892714285708,inflow,mass
0502,2009,9888.029603333332,inflow,mass
0503,2009,839.8074993635723,inflow,mass
0504,2009,1198.0776343343198,inflow,mass
0601,2009,49065.13377,inflow,mass
0602,2009,103966.57040000001,inflow,mass
0801,2009,252.14058,inflow,mass
0802,2009,-1021.2873600000001,inflow,mass
0901,2009,22562.17584,inflow,mass
0902,2009,17653.01514,inflow,mass
1001,2009,-11165.924,inflow,mass
1002,2009,6303.6981,inflow,mass
0112,2009,8815.626697200003,inflow,mass
0701,2009,38130.23174166,inflow,mass
0703,2009,84.8287,inflow,mass
0505,2009,5917.195963477999,inflow,mass
0310,2009,NA,inflow,mass
3001,2009,NA,inflow,mass
0101,2010,8589.54509483331,inflow,mass
0102,2010,45504.8793,inflow,mass
0103,2010,324835.7274996629,inflow,mass
0104,2010,331862.9701644079,inflow,mass
