sector,year,value,source,target
Packaging ,2015,247592.10162230537,la_collected_other,treated_overseas
Packaging ,2015,22508.372874755034,la_collected_other,mismanaged
Packaging ,2015,180066.98299804027,la_collected_other,formal_domestic_treatment
Packaging ,2015,247592.10162230537,wmc_collected,treated_overseas
Packaging ,2015,22508.372874755034,wmc_collected,mismanaged
Packaging ,2015,180066.98299804027,wmc_collected,formal_domestic_treatment
Packaging ,2016,619622.8759711966,la_collected_household,treated_overseas
Packaging ,2016,56329.35236101787,la_collected_household,mismanaged
Packaging ,2016,450634.81888814294,la_collected_household,formal_domestic_treatment
Packaging ,2016,247849.15038847862,la_collected_other,treated_overseas
Packaging ,2016,22531.74094440715,la_collected_other,mismanaged
Packaging ,2016,180253.9275552572,la_collected_other,formal_domestic_treatment
Packaging ,2016,247849.15038847862,wmc_collected,treated_overseas
Packaging ,2016,22531.74094440715,wmc_collected,mismanaged
Packaging ,2016,180253.9275552572,wmc_collected,formal_domestic_treatment
Packaging ,2017,619641.6246186274,la_collected_household,treated_overseas
Packaging ,2017,56331.05678351157,la_collected_household,mismanaged
Packaging ,2017,450648.4542680926,la_collected_household,formal_domestic_treatment
Packaging ,2017,247856.64984745093,la_collected_other,treated_overseas
Packaging ,2017,22532.42271340463,la_collected_other,mismanaged
Packaging ,2017,180259.38170723704,la_collected_other,formal_domestic_treatment
Packaging ,2017,247856.64984745093,wmc_collected,treated_overseas
Packaging ,2017,22532.42271340463,wmc_collected,mismanaged
Packaging ,2017,180259.38170723704,wmc_collected,formal_domestic_treatment
Packaging ,2018,645607.0053356948,la_collected_household,treated_overseas
Packaging ,2018,58691.54593960861,la_collected_household,mismanaged
Packaging ,2018,469532.36751686886,la_collected_household,formal_domestic_treatment
Packaging ,2018,258242.8021342779,la_collected_other,treated_overseas
Packaging ,2018,23476.618375843445,la_collected_other,mismanaged
Packaging ,2018,187812.94700674756,la_collected_other,formal_domestic_treatment
Packaging ,2018,258242.8021342779,wmc_collected,treated_overseas
Packaging ,2018,23476.618375843445,wmc_collected,mismanaged
Packaging ,2018,187812.94700674756,wmc_collected,formal_domestic_treatment
Packaging ,2019,675820.5822926543,la_collected_household,treated_overseas
Packaging ,2019,61438.23475387766,la_collected_household,mismanaged
Packaging ,2019,491505.8780310213,la_collected_household,formal_domestic_treatment
Packaging ,2019,270328.2329170617,la_collected_other,treated_overseas
Packaging ,2019,24575.293901551064,la_collected_other,mismanaged
Packaging ,2019,196602.3512124085,la_collected_other,formal_domestic_treatment
Packaging ,2019,270328.2329170617,wmc_collected,treated_overseas
Packaging ,2019,24575.293901551064,wmc_collected,mismanaged
Packaging ,2019,196602.3512124085,wmc_collected,formal_domestic_treatment
Packaging ,2020,682509.3330798398,la_collected_household,treated_overseas
Packaging ,2020,62046.30300725816,la_collected_household,mismanaged
Packaging ,2020,496370.4240580653,la_collected_household,formal_domestic_treatment
Packaging ,2020,273003.73323193594,la_collected_other,treated_overseas
Packaging ,2020,24818.521202903266,la_collected_other,mismanaged
Packaging ,2020,198548.16962322613,la_collected_other,formal_domestic_treatment
Packaging ,2020,273003.73323193594,wmc_collected,treated_overseas
