no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,type,site_address,classification_of_operation
"20","EA","ER142013135","Glass Other","L","Day Group Ltd","00432417","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Transport Avenue BRENTFORD Middlesex TW8 9HF","R5 Recycling/reclamation of other inorganic materials"
"21","EA","ER142013131","Glass Other","L","Direct Material Supplies Enviro Ltd","5007585","Active","01/01/2014","01/01/2014","Accredited Reprocessors","DMS ENVIRO PLANT STOKE-ON-TRENT STAFFORDSHIRE ST6 4LU","R5 Recycling/reclamation of other inorganic materials"
"22","EA","ER142013149","Glass Other","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2014","01/01/2014","Accredited Reprocessors","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"23","EA","ER142013194","Glass Other","S","Glassbusters Ltd","07746959","Active","31/03/2014","31/03/2014","Accredited Reprocessors","Glassbusters Ltd LONDON HA0 1HP","R5 Recycling/reclamation of other inorganic materials"
"24","EA","ER142013153","Glass Other","L","Green Future Recycling Ltd","4505243","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Old Brickworks Site BLACKPOOL Lancs FY4 5JX","R5 Recycling/reclamation of other inorganic materials"
"25","EA","ER142014131","Glass Other","L","J. A . Jackson Contractors (Preston)
Ltd","0905981","Active","06/03/2014","01/08/2014","Accredited Reprocessors","BRADLEYS SANDPIT PRESTON LANCS PR4 0AP","R5 Recycling/reclamation of other inorganic materials"
"26","EA","ER142013112","Glass Other","S","Lafarge Aggregates Ltd","00297905","Active","07/02/2014","07/02/2014","Accredited Reprocessors","Barham - Lafarge Aggregates Limited BARHAM Ipswich IP6 0PF","R5 Recycling/reclamation of other inorganic materials"
"27","EA","ER142013115","Glass Other","L","Lafarge Aggregates Ltd","00297905","Active","07/02/2014","07/02/2014","Accredited Reprocessors","Finningley - Lafarge Aggregates Ltd FINNINGLEY South Yorkshire DN9 3DW","R5 Recycling/reclamation of other inorganic materials"
"28","EA","ER142013116","Glass Other","S","Lafarge Aggregates Ltd","00297905","Active","07/02/2014","07/02/2014","Accredited Reprocessors","Higham - Lafarge Aggregates Limited NEWMARKET Suffolk CB8 7QT","R5 Recycling/reclamation of other inorganic materials"
"29","EA","ER142013117","Glass Other","S","Lafarge Aggregates Ltd","00297905","Active","07/02/2014","07/02/2014","Accredited Reprocessors","Harper Lane - Lafarge Aggregates Ltd RADLETT Hertfordshire WD7 7HX","R5 Recycling/reclamation of other inorganic materials"
"30","EA","ER142013120","Glass Other","S","Lafarge Aggregates Ltd","00297905","Active","07/02/2014","07/02/2014","Accredited Reprocessors","Thrislington - Lafarge Aggregates Limited WEST CORNFORTH County Durham DL17 9EY","R5 Recycling/reclamation of other inorganic materials"
"31","EA","ER142013202","Glass Other","L","MRF Glass Recycling Ltd","7930689","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Store 20 SCUNTHORPE NorthLincolnshire DN15 8UA","R5 Recycling/reclamation of other inorganic materials"
"32","EA","ER142014110","Glass Other","L","Recresco Limited (London)","4066165","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Recresco London SWANSCOMBE Kent DA10 0LL","R5 Recycling/reclamation of other inorganic materials"
"33","EA","ER142013143","Glass Other","L","Recresco Ltd (1)","4066165","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Recresco Buildings SOUTHAMPTON Hampshire SO15 1HJ","R5 Recycling/reclamation of other inorganic materials"
"34","EA","ER142013140","Glass Other","S","Recresco Ltd (2)","4066165","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Recresco Ltd, KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"35","EA","ER142013144","Glass Other","L","Recresco Ltd (3)","4066165","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"36","EA","ER142013200","Glass Other","L","Reuse Collections T/A Berryman","4084246","Active","02/04/2014","02/04/2014","Accredited Reprocessors","Reuse Collections DAGENHAM Essex RM96QD","R5 Recycling/reclamation of other inorganic materials"
"37","EA","ER142014151","Glass Other","L","Stacey Processing Ltd","4446433","Active","03/06/2014","03/06/2014","Accredited Reprocessors","Ryder Point Works MATLOCK Derbyshire DE4 4HE","R5 Recycling/reclamation of other inorganic materials"
"38","EA","ER142013146","Glass Other","L","URM UK Ltd t/a Berryman","4084246","Active","30/01/2014","30/01/2014","Accredited Reprocessors","Lidgate Crescent SOUTH KIRKBY West Yorkshire WF9 3NR","R5 Recycling/reclamation of other inorganic materials"
"39","EA","ER142014160","Glass Other","L","URM UK Ltd t/a Berryman","4084246","Active","24/07/2014","24/07/2014","Accredited Reprocessors","46c TILBURY Essex RM18 7EH","R5 Recycling/reclamation of other inorganic materials"
"40","EA","ER142013110","Glass Other","S","Viridor Waste (Greater Manchester)
Ltd","02705057","Active","01/01/2014","01/01/2014","Accredited Reprocessors","LONGLEY LANE MANCHESTER M22 4RQ","R5 Recycling/reclamation of other inorganic materials"
"41","EA","ER142013130","Glass Other","L","VIRIDOR WASTE MANAGEMENT
LIMITED","00575069","Cancelled","01/01/2014","21/07/2014","Accredited Reprocessors","Lancots Lane ST. HELENS Merseyside WA9 3EX","R5 Recycling/reclamation of other inorganic materials"
"42","EA","ER142013113","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2014","01/01/2014","Accredited Reprocessors","SALMON PASTURES SHEFFIELD YORKSHIRE S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"43","EA","ER142013119","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2014","01/01/2014","Accredited Reprocessors","FORD MRF ARUNDEL WEST SUSSEX BN18 0FL","R5 Recycling/reclamation of other inorganic materials"
"44","EA","ER142013123","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2014","01/01/2014","Accredited Reprocessors","PILSWORTH SOUTH LANDFILL SITE BURY LANCASHIRE BL9 8QZ","R5 Recycling/reclamation of other inorganic materials"
"45","EA","ER142013129","Glass Other","L","Viridor Waste Management Ltd","00575069","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Crayford Materials Recycling Facility DARTFORD Kent DA1 4HQ","R5 Recycling/reclamation of other inorganic materials"
"46","EA","ER142013197","Glass Other","L","Wagstaff Total waste management
Ltd.","07861416","Active","07/02/2014","07/02/2014","Accredited Reprocessors","Unit 2 GREAT HECK South Yorkshire DN14 0BT","R5 Recycling/reclamation of other inorganic materials"
"47","EA","ER142013164","Glass Other","L","Ward Recycling Limited","4373217","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Ward Recycling Limited MIDDLESBROUGH Cleveland TS6 6TX","R5 Recycling/reclamation of other inorganic materials"
"48","EA","ER142014166","Glass Other","S","Yorwaste Ltd","02666908","Active","23/10/2014","23/10/2014","Accredited Reprocessors","Seamer Carr Waste Management Facility SCARBOROUGH Scarborough YO12 4QA","R5 Recycling/reclamation of other inorganic materials"
"49","NRW","WR142013151","Glass Other","L","Glass Tech Recycling Ltd","07479819","Cancelled","","17/12/2013","Accredited Reprocessors","Roberts Road SWANSEA City & County of Swansea SA1 1QR","R5 Recycling/reclamation of other inorganic materials"
"50","NRW","WR142013151","Glass Other","L","Glass Tech Recycling Ltd","07479819","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Roberts Road SWANSEA City & County of Swansea SA1 1QR","R5 Recycling/reclamation of other inorganic materials"
"51","NRW","WR142013142","Glass Other","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"52","NRW","WR142013142","Glass Other","L","Recresco Limited - Cwmbran","4066165","Cancelled","","17/12/2013","Accredited Reprocessors","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"53","NIEA","NR142013106","Glass Other","L","Enva Northern Ireland Ltd","NI017996","Active","01/01/2014","01/01/2014","Accredited Reprocessors","52 Creagh Road TOOMEBRIDGE Antrim BT413SE","R5 Recycling/reclamation of other inorganic materials"
"54","NIEA","NR142013105","Glass Other","L","Re-Gen Limited","NI 44110","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Unit 7 Shepherd's Drive, NEWRY Down BT35 6JQ","R5 Recycling/reclamation of other inorganic materials"
"55","SEPA","SR142013107","Glass Other","S","Comhairle Nan Eilean Siar","sc 00000","Cancelled","01/01/2014","01/02/2015","Accredited Reprocessors","Creed Park Integrated Waste Management Facility ISLE OF LEWIS Western Isles HS2 9JB","R5 Recycling/reclamation of other inorganic materials"
"56","SEPA","SR142014103","Glass Other","L","Dryden Aqua Ltd","SC072700","Cancelled","28/01/2014","01/02/2015","Accredited Reprocessors","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"57","SEPA","SR142013115","Glass Other","L","Dryden Glass Technology Ltd","SC448554","Cancelled","01/01/2014","07/01/2014","Accredited Reprocessors","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"58","SEPA","SR142013106","Glass Other","L","Enva Scotland Limited","SC057052","Cancelled","01/01/2014","01/02/2015","Accredited Reprocessors","49 Burnbrae Rd, Linwood Industrial Estate LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"59","SEPA","SR142013102","Glass Other","S","Shetland Amenity Trust","SC017505","Cancelled","01/01/2014","01/02/2015","Accredited Reprocessors","Enviroglass CUNNINGSBURGH Shetland ZE2 9HB","R5 Recycling/reclamation of other inorganic materials"
"60","SEPA","SR142013108","Glass Other","L","Viridor Waste Management Limited","0575069","Cancelled","01/01/2014","01/02/2015","Accredited Reprocessors","5 Dalhousie Business Park BONNYRIGG Midlothian EH19 3HY","R5 Recycling/reclamation of other inorganic materials"
"61","EA","ER142013126","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Doncaster Plant DONCASTER South Yorkshire DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"62","EA","ER142013127","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2014","01/01/2014","Accredited Reprocessors","BARNSLEY PLANT BARNSLEY South Yorkshire S71 2QG","R5 Recycling/reclamation of other inorganic materials"
"63","EA","ER142013128","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Knottingley Plant KNOTTINGLEY West Yorkshire WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"64","EA","ER142013109","Glass Re-melt","L","Beatson Clark Limited","00110186","Active","01/01/2014","01/01/2014","Accredited Reprocessors","The Glassworks ROTHERHAM South Yorkshire S60 1TZ","R5 Recycling/reclamation of other inorganic materials"
"65","EA","ER142013154","Glass Re-melt","L","Encirc Limited","NI 30990","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Encirc Business Park ELTON Cheshire CH2 4LF","R5 Recycling/reclamation of other inorganic materials"
"66","EA","ER142013118","Glass Re-melt","L","Knauf Insulation Ltd","1926842","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Kanuf Insulation ST HELENS Merseyside WA10 3LZ","R5 Recycling/reclamation of other inorganic materials"
"67","EA","ER142013136","Glass Re-melt","L","O-I Glass Ltd","00526983","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Edinburgh Way HARLOW Essex CM20 2UG","R5 Recycling/reclamation of other inorganic materials"
"68","EA","ER142013163","Glass Re-melt","S","Recycled Glass Company Ltd","4577696","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Unit 1 HIGHBRIDGE Somerset TA9 4AG","R5 Recycling/reclamation of other inorganic materials"
"69","EA","ER142013182","Glass Re-melt","L","Saint-Gobain Construction Products
UK Limited","00734396","Active","17/03/2014","17/03/2014","Accredited Reprocessors","Whitehouse Industrial Estate RUNCORN Cheshire WA7 3DP","R5 Recycling/reclamation of other inorganic materials"
"70","EA","ER142013155","Glass Re-melt","L","Stoelzle Flaconnage Limited","2973822","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Stoelzle Flaconnage Limited KNOTTINGLEY West Yorkshire WF11 8AP","R5 Recycling/reclamation of other inorganic materials"
"71","EA","ER142013121","Glass Re-melt","L","Verallia UK Ltd","3846688","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Fernley Green Road KNOTTINGLEY West Yorkshire WF11 8DJ","R5 Recycling/reclamation of other inorganic materials"
"72","EA","ER142013122","Glass Re-melt","L","Verallia UK Ltd","3846688","Active","01/01/2014","01/01/2014","Accredited Reprocessors","South Accommodation Road LEEDS West Yorkshire LS10 1NQ","R5 Recycling/reclamation of other inorganic materials"
"73","EA","ER142014167","Glass Re-melt","S","Vitromite Ltd","08783711","Active","02/12/2014","02/12/2014","Accredited Reprocessors","H4 Former RAF Coltishall Badersfield Scottow NORWICH Norfolk NR105AJ","R5 Recycling/reclamation of other inorganic materials"
"74","NRW","WR142013111","Glass Re-melt","L","Knauf Insulation Ltd","1926842","Active","01/01/2014","01/01/2014","Accredited Reprocessors","KNAUF INSULATION LTD CWMBRAN TORFAEN NP44 2YQ","R5 Recycling/reclamation of other inorganic materials"
"75","NIEA","NR142013104","Glass Re-melt","L","Encirc Ltd","NI 30990","Active","01/01/2014","01/01/2014","Accredited Reprocessors","11 Gortahurk Road DERRYLIN Fermanagh BT92 9DD","R5 Recycling/reclamation of other inorganic materials"
"76","SEPA","SR142013103","Glass Re-melt","L","Ardagh Glass Ltd","00567801","Cancelled","01/01/2014","01/02/2015","Accredited Reprocessors","Irvine Plant IRVINE KA12 8JA","R5 Recycling/reclamation of other inorganic materials"
"77","SEPA","SR142014102","Glass Re-melt","L","Dryden Aqua Ltd","SC072700","Cancelled","28/01/2014","01/02/2015","Accredited Reprocessors","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"78","SEPA","SR142013114","Glass Re-melt","L","Dryden Glass Technology Ltd","SC448554","Cancelled","01/01/2014","07/01/2014","Accredited Reprocessors","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"79","SEPA","SR142013105","Glass Re-melt","L","Enva Scotland Limited","SC057052","Cancelled","01/01/2014","01/02/2015","Accredited Reprocessors","49 Burnbrae Rd, Linwood Industrial Estate LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"80","SEPA","SR142013101","Glass Re-melt","L","O-I Glass Ltd","00526983","Cancelled","01/01/2014","01/02/2015","Accredited Reprocessors","Glasshouse Loan ALLOA Clackmannanshire FK10 1PD","R5 Recycling/reclamation of other inorganic materials"
"81","SEPA","SR142013104","Glass Re-melt","L","Superglass Insulation Limited","2160591","Cancelled","27/02/2014","01/02/2015","Accredited Reprocessors","Superglass Insulation Ltd. STIRLING FK7 7QQ","R5 Recycling/reclamation of other inorganic materials"
"82","EA","ER141998168","Paper/board","L","Aylesford Newsprint","2825694","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Newsprint House AYLESFORD Kent ME20 7DL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"83","EA","ER14199864","Paper/board","L","DS Smith Paper Limited","00058614","Active","01/01/2014","01/01/2014","Accredited Reprocessors","DS SMITH PAPER LTD STTTINGBOURNE KENT ME10 2TD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"84","EA","ER14199850","Paper/board","L","DS Smith Paper Limited (4)","00058614","Active","01/01/2014","01/01/2014","Accredited Reprocessors","DS SMITH PAPER LTD WATCHET SOMERSET TA23 0AY","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"85","EA","ER141998133","Paper/board","L","Preston Board & Packaging Ltd","1567779","Active","14/02/2014","14/02/2014","Accredited Reprocessors","Romiley Board Mill STOCKPORT Cheshire SK6 4DZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"86","EA","ER142011114","Paper/board","L","SAICA Paper UK Ltd","06569569","Active","01/01/2014","01/01/2014","Accredited Reprocessors","144 Manchester Road MANCHESTER M31 4QN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"87","EA","ER1419988","Paper/board","L","Smurfit Kappa UK Ltd","1017013","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Smurfit Kappa SSK Ltd BIRMINGHAM B7 5RE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"88","EA","ER14199890","Paper/board","L","Sonoco Cores and Paper Ltd","5133800","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Sonoco Board Mills STAINLAND West Yorkshire HX4 9PY","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"89","NRW","WR141998205","Paper/board","L","UPM Kymmene (UK) Ltd","SC102969","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Weighbridge Road DEESIDE Flintshire CH5 2LL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"90","EA","ER141998256","Plastic","S","Alfaplas Ltd","03171362","Active","01/01/2014","01/01/2014","Accredited Reprocessors","1 Ramsden Road HEREFORD Herefordshire HR2 6LR","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"91","EA","ER141998142","Plastic","S","Alpha Polymers Ltd","1543079","Active","20/01/2014","20/01/2014","Accredited Reprocessors","1 Costain Street LIVERPOOL Merseyside L20 8QJ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"92","EA","ER142013188","Plastic","L","Avanti Environmental Group Limited","3476148","Active","06/01/2014","06/01/2014","Accredited Reprocessors","Yardley Road KNOWSLEY Merseyside L33 7SS","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"93","EA","ER142013191","Plastic","L","Avanti Environmental Group Ltd","3476148","Active","06/01/2014","06/01/2014","Accredited Reprocessors","Avanti Environmetal Group Limited KNOWSLEY Merseyside L33 7UF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"94","EA","ER141998221","Plastic","L","Biffa (WES) Limited (REDCAR)","2729607","Active","01/01/2014","01/01/2014","Accredited Reprocessors","WES Building REDCAR Cleveland TS10 4RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"95","EA","ER142011103","Plastic","L","Brightgreen Plastics Ltd","7289595","Active","01/01/2014","01/01/2014","Accredited Reprocessors","ALLERTON BYWATER BUSINESS PARK CASTLEFORD WEST YORKS WF10 2AL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"96","EA","ER14199873","Plastic","L","British Polythene Limited","0350729","Active","01/01/2014","01/01/2014","Accredited Reprocessors","BPI Recycled Products STROUD Gloucestershire GL5 3QF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"97","EA","ER14199871","Plastic","L","British Polythene Ltd","0350729","Active","01/01/2014","01/01/2014","Accredited Reprocessors","BPI Recycled Products HEANOR Derbyshire DE75 7RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"98","EA","ER14199854","Plastic","L","Centriforce Products Ltd","3347875","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Errington Works LIVERPOOL Merseyside L20 8EE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"99","EA","ER14199819","Plastic","L","Chase Plastics Ltd","1593735","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Mile End Works BRANDON Suffolk IP27 0NE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"100","EA","ER142009125","Plastic","L","Closed Loop Recycling Ltd","05172959","Active","01/01/2014","01/01/2014","Accredited Reprocessors","16 Choats Road DAGENHAM Essex RM9 6LF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"101","EA","ER14199829","Plastic","S","Coveris Flexibles (Gainsborough)
UK Ltd (T/A Coveris Winsford)","04786458","Active","27/01/2014","27/01/2014","Accredited Reprocessors","Coveris Flexibles (Gainsborough) UK Ltd (T/A Coveris Winsford) WINSFORD Cheshire CW7 3RD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"102","EA","ER141998228","Plastic","S","Coveris Flexibles (Louth) UK Ltd","00815053","Active","01/01/2014","01/01/2014","Accredited Reprocessors","101 brackenborough road LOUTH LINCS LN11 0AX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"103","EA","ER142013180","Plastic","L","Coveris Rigid UK Ltd","SC121847","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Alderman Wood Road STANLEY Durham DH9 9XH","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"104","EA","ER142014152","Plastic","S","Echo Packaging Ltd","02717201","Active","09/06/2014","09/06/2014","Accredited Reprocessors","Sondes Road CORBY Northamptonshire NN17 5XL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"105","EA","ER142009198","Plastic","L","ECO Plastics Ltd.","3948149","Cancelled","01/01/2014","11/12/2014","Accredited Reprocessors","Hemswell Business Park HEMSWELL Lincolnshire DN21 5TU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"106","EA","ER142014159","Plastic","L","Ecotech London Ltd","08573291","Active","28/07/2014","28/07/2014","Accredited Reprocessors","Fairview Industrial Estate RAINHAM Essex RM13 8UH","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"107","EA","ER142013198","Plastic","L","Enva Plastics Ltd","04975936","Active","01/01/2014","01/01/2014","Accredited Reprocessors","SOUTH FEN ROAD BOURNE LINCS PE10 0DN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"108","EA","ER142014168","Plastic","L","Evolve Polymers Limited","9343045","Active","17/12/2014","17/12/2014","Accredited Reprocessors","Hemswell Business Park HEMSWELL Lincoln DN21 5TU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"109","EA","ER14199882","Plastic","L","F P International (UK) Limited","1200088","Cancelled","01/01/2014","02/01/2014","Accredited Reprocessors","BOUNDARY ROAD BRACKLEY NORTHANTS NN13 7ES","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"110","EA","ER14199846","Plastic","L","Frank Mercer & Sons Ltd","1370465","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Chequerbent Works BOLTON GT Manchester BL5 3JF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
