year,source,target,material,value,data_source_id,product
2020,Placed on the market,Non-consumer,PE,101129.44619480807,0047_0038,Packaging
2020,Placed on the market,Non-consumer,PET,108866.12513867319,0047_0038,Packaging
2020,Placed on the market,Non-consumer,PP,106655.645440426,0047_0038,Packaging
2020,Placed on the market,Non-consumer,PS,25973.13645440426,0047_0038,Packaging
2020,Placed on the market,Non-consumer,PVC,2763.0996228089634,0047_0038,Packaging
2021,Placed on the market,Consumer,HDPE,337665.29067147366,0047_0038,Packaging
2021,Placed on the market,Consumer,LDPE,131440.180261379,0047_0038,Packaging
2021,Placed on the market,Consumer,Other,43057.99008562416,0047_0038,Packaging
2021,Placed on the market,Consumer,PE,63453.880126182965,0047_0038,Packaging
2021,Placed on the market,Consumer,PET,632272.591257323,0047_0038,Packaging
2021,Placed on the market,Consumer,PP,388655.01577287074,0047_0038,Packaging
2021,Placed on the market,Consumer,PS,26061.415051825148,0047_0038,Packaging
2021,Placed on the market,Consumer,PVC,7931.735015772871,0047_0038,Packaging
2021,Placed on the market,Non-consumer,HDPE,285542.4605678234,0047_0038,Packaging
2021,Placed on the market,Non-consumer,LDPE,250416.20549797206,0047_0038,Packaging
2021,Placed on the market,Non-consumer,Other,3399.315006759802,0047_0038,Packaging
2021,Placed on the market,Non-consumer,PE,103112.55520504733,0047_0038,Packaging
2021,Placed on the market,Non-consumer,PET,97447.03019378097,0047_0038,Packaging
2021,Placed on the market,Non-consumer,PP,113310.50022532673,0047_0038,Packaging
2021,Placed on the market,Non-consumer,PS,26061.415051825144,0047_0038,Packaging
2021,Placed on the market,Non-consumer,PVC,4532.420009013069,0047_0038,Packaging
2022,Placed on the market,Consumer,HDPE,180160.98029793365,0047_0038,Packaging
2022,Placed on the market,Consumer,LDPE,90619.89428159539,0047_0038,Packaging
2022,Placed on the market,Consumer,Other,98171.55213839501,0047_0038,Packaging
2022,Placed on the market,Consumer,PE,52861.604997597315,0047_0038,Packaging
2022,Placed on the market,Consumer,PET,658073.0418068237,0047_0038,Packaging
2022,Placed on the market,Consumer,PP,256756.36713118694,0047_0038,Packaging
2022,Placed on the market,Consumer,PS,26970.206631427198,0047_0038,Packaging
2022,Placed on the market,Consumer,PVC,2157.616530514176,0047_0038,Packaging
2022,Placed on the market,Non-consumer,HDPE,263229.21672272944,0047_0038,Packaging
2022,Placed on the market,Non-consumer,LDPE,244889.47621335898,0047_0038,Packaging
2022,Placed on the market,Non-consumer,Other,7551.657856799617,0047_0038,Packaging
2022,Placed on the market,Non-consumer,PE,110038.44305622297,0047_0038,Packaging
2022,Placed on the market,Non-consumer,PET,86304.66122056704,0047_0038,Packaging
2022,Placed on the market,Non-consumer,PP,135929.84142239307,0047_0038,Packaging
2022,Placed on the market,Non-consumer,PS,23733.781835655936,0047_0038,Packaging
2022,Placed on the market,Non-consumer,PVC,7551.657856799616,0047_0038,Packaging
2023,Placed on the market,Consumer,HDPE,181284.47861604998,0047_0038,Packaging
2023,Placed on the market,Consumer,LDPE,91185.00720807305,0047_0038,Packaging
2023,Placed on the market,Consumer,Other,98783.75780874578,0047_0038,Packaging
2023,Placed on the market,Consumer,PE,53191.254204709265,0047_0038,Packaging
2023,Placed on the market,Consumer,PET,662176.8380586257,0047_0038,Packaging
2023,Placed on the market,Consumer,PP,258357.5204228736,0047_0038,Packaging
2023,Placed on the market,Consumer,PS,27138.395002402693,0047_0038,Packaging
2023,Placed on the market,Consumer,PVC,2171.0716001922156,0047_0038,Packaging
