variable,year,forecast_type,level,total,method,exogenous_factor,material1,application,material,domestic_production,net_imports,,
Placed on market,2017,,,0,,,Plastic,Bottle,ps,0,0,,
Placed on market,2017,,,0,,,Plastic,Bottle,pvc,0,0,,
Placed on market,2017,,,93927.05683,,,Plastic,Film,hdpe,46963.52841,46963.52841,,
Placed on market,2017,,,348871.9254,,,Plastic,Film,ldpe,174435.9627,174435.9627,,
Placed on market,2017,,,18210.34775,,,Plastic,Film,other,9105.173876,9105.173876,,
Placed on market,2017,,,98719.2536,,,Plastic,Film,pe,49359.6268,49359.6268,,
Placed on market,2017,,,29711.62002,,,Plastic,Film,pet,14855.81001,14855.81001,,
Placed on market,2017,,,127472.4343,,,Plastic,Film,pp,63736.21713,63736.21713,,
Placed on market,2017,,,1916.878711,,,Plastic,Film,ps,958.4393554,958.4393554,,
Placed on market,2017,,,8625.954198,,,Plastic,Film,pvc,4312.977099,4312.977099,,
Placed on market,2017,,,59423.24003,,,Plastic,Other,hdpe,29711.62002,29711.62002,,
Placed on market,2017,,,22044.10517,,,Plastic,Other,ldpe,11022.05259,11022.05259,,
Placed on market,2017,,,0,,,Plastic,Other,other,0,0,,
Placed on market,2017,,,958.4393554,,,Plastic,Other,pe,479.2196777,479.2196777,,
Placed on market,2017,,,38337.57422,,,Plastic,Other,pet,19168.78711,19168.78711,,
Placed on market,2017,,,75716.70908,,,Plastic,Other,pp,37858.35454,37858.35454,,
Placed on market,2017,,,3833.757422,,,Plastic,Other,ps,1916.878711,1916.878711,,
Placed on market,2017,,,2875.318066,,,Plastic,Other,pvc,1437.659033,1437.659033,,
Placed on market,2017,,,24919.42324,,,Plastic,PTT,hdpe,12459.71162,12459.71162,,
Placed on market,2017,,,958.4393554,,,Plastic,PTT,ldpe,479.2196777,479.2196777,,
Placed on market,2017,,,1916.878711,,,Plastic,PTT,other,958.4393554,958.4393554,,
Placed on market,2017,,,11501.27226,,,Plastic,PTT,pe,5750.636132,5750.636132,,
Placed on market,2017,,,161976.2511,,,Plastic,PTT,pet,80988.12553,80988.12553,,
